Date,Close,High,Low,Open,Volume,Sector
2025-01-13,28555.80078125,28656.25,28242.099609375,28613.0,8154,Healthcare
2025-01-14,28235.55078125,28700.099609375,28170.75,28555.80078125,10667,Healthcare
2025-01-15,27745.69921875,28464.05078125,27700.0,28370.0,11977,Healthcare
2025-01-16,27298.099609375,27950.0,27102.44921875,27745.69921875,12359,Healthcare
2025-01-17,27929.69921875,28103.900390625,27298.099609375,27440.0,15194,Healthcare
2025-01-20,27682.099609375,28113.0,27421.099609375,27929.69921875,8618,Healthcare
2025-01-21,27631.400390625,28140.099609375,27593.150390625,27750.0,9128,Healthcare
2025-01-22,27774.44921875,27850.0,27424.05078125,27670.0,6685,Healthcare
2025-01-23,27849.80078125,27913.94921875,27526.599609375,27800.0,4584,Healthcare
2025-01-24,27282.349609375,27959.849609375,27222.0,27911.0,5536,Healthcare
2025-01-27,26518.150390625,27357.5,26473.0,27051.099609375,9110,Healthcare
2025-01-28,25698.05078125,26629.099609375,25470.19921875,26518.099609375,20087,Healthcare
2025-01-29,25501.849609375,25878.0,25325.0,25355.0,27004,Healthcare
2025-01-30,26129.400390625,26200.0,25554.650390625,25654.650390625,7557,Healthcare
2025-01-31,26173.30078125,26342.94921875,25937.5,25937.5,6906,Healthcare
2025-02-01,25892.099609375,26324.94921875,25743.0,26249.94921875,19350,Healthcare
2025-02-03,25977.599609375,26051.94921875,25760.05078125,25892.099609375,8122,Healthcare
2025-02-04,26123.30078125,26298.900390625,25952.05078125,25999.900390625,9729,Healthcare
2025-02-05,27802.099609375,27915.0,26026.05078125,26300.0,48840,Healthcare
2025-02-06,29081.099609375,29439.94921875,27926.94921875,27998.80078125,93624,Healthcare
2025-02-07,29799.599609375,29861.900390625,28979.94921875,28980.0,32928,Healthcare
2025-02-10,29683.400390625,29850.0,29106.0,29106.0,11735,Healthcare
2025-02-11,29128.900390625,29700.0,29019.05078125,29683.400390625,8385,Healthcare
2025-02-12,28780.0,29300.94921875,28251.0,28990.0,12096,Healthcare
2025-02-13,28359.05078125,29338.69921875,28272.349609375,28500.05078125,8028,Healthcare
2025-02-14,27839.75,28652.69921875,27580.849609375,28500.80078125,15905,Healthcare
2025-02-17,28569.5,28649.94921875,27549.900390625,27921.849609375,13719,Healthcare
2025-02-18,29325.5,29484.099609375,28300.0,28300.0,24856,Healthcare
2025-02-19,29721.150390625,29823.94921875,28649.19921875,28660.0,21240,Healthcare
2025-02-20,29429.650390625,29806.650390625,29333.94921875,29500.0,5736,Healthcare
2025-02-21,28941.94921875,29576.75,28725.0,29429.650390625,18419,Healthcare
2025-02-24,29813.5,29850.0,28538.5,28750.0,35520,Healthcare
2025-02-25,30195.5,30571.150390625,29500.05078125,29500.05078125,43438,Healthcare
2025-02-27,29963.75,30444.0,29400.0,30000.0,33985,Healthcare
2025-02-28,30395.650390625,30650.0,29115.0,29600.0,17580,Healthcare
2025-03-03,31183.55078125,31567.0,29726.25,30610.19921875,30976,Healthcare
2025-03-04,31539.900390625,31750.0,30572.599609375,31351.0,25847,Healthcare
2025-03-05,31448.099609375,31898.94921875,30854.44921875,31539.900390625,20717,Healthcare
2025-03-06,30983.150390625,31573.25,30659.30078125,31500.0,15991,Healthcare
2025-03-07,30768.30078125,31597.80078125,30630.650390625,30990.0,12123,Healthcare
2025-03-10,30629.599609375,31099.94921875,30125.0,30768.30078125,11926,Healthcare
2025-03-11,30496.5,31103.80078125,30394.30078125,30620.099609375,9378,Healthcare
2025-03-12,29795.849609375,30679.94921875,29555.55078125,30520.0,11266,Healthcare
2025-03-13,29597.0,30112.80078125,29556.55078125,29800.0,5268,Healthcare
2025-03-17,30176.25,30295.0,29566.55078125,29699.900390625,5725,Healthcare
2025-03-18,30176.25,30176.25,30176.25,30176.25,0,Healthcare
2025-03-19,30348.900390625,30541.349609375,29712.099609375,30000.0,12242,Healthcare
2025-03-20,30179.349609375,30739.849609375,30050.0,30348.900390625,7787,Healthcare
2025-03-21,30292.099609375,30499.0,30046.55078125,30290.0,7752,Healthcare
2025-03-24,31072.30078125,31183.75,30250.0,30300.05078125,9503,Healthcare
2025-03-25,31101.849609375,31370.0,30720.0,31075.0,7172,Healthcare
2025-03-26,30591.5,31250.0,30500.0,31100.0,8589,Healthcare
2025-03-27,30569.150390625,30810.0,30200.400390625,30300.150390625,10564,Healthcare
2025-03-28,30720.55078125,30800.0,30420.099609375,30570.0,5774,Healthcare
2025-04-01,30318.0,31107.55078125,30240.94921875,30720.55078125,6596,Healthcare
2025-04-02,29540.900390625,30318.0,29401.0,30305.19921875,8629,Healthcare
2025-04-03,29909.30078125,30398.0,29740.0,29800.0,10987,Healthcare
2025-04-04,29077.400390625,30090.55078125,28829.150390625,29909.30078125,9166,Healthcare
2025-04-07,28965.69921875,29400.05078125,27500.05078125,27501.0,14086,Healthcare
2025-04-08,29398.94921875,29554.849609375,28900.099609375,29498.900390625,6460,Healthcare
2025-04-09,29108.05078125,29600.05078125,28975.55078125,29009.599609375,5194,Healthcare
