Date,Close,High,Low,Open,Volume,Sector
2025-01-13,493.20001220703125,514.0,491.20001220703125,504.0,2284737,Construction Materials
2025-01-14,515.3499755859375,517.4000244140625,494.1000061035156,494.1000061035156,1755495,Construction Materials
2025-01-15,519.2999877929688,524.9000244140625,512.75,518.0,1765699,Construction Materials
2025-01-16,540.1500244140625,543.0999755859375,528.2000122070312,534.0,4303187,Construction Materials
2025-01-17,536.25,542.6500244140625,530.2000122070312,542.0,964325,Construction Materials
2025-01-20,535.3499755859375,539.0999755859375,530.0,538.75,669217,Construction Materials
2025-01-21,531.75,548.6500244140625,530.5499877929688,535.3499755859375,2560552,Construction Materials
2025-01-22,536.6500244140625,538.6500244140625,526.4000244140625,533.75,1658282,Construction Materials
2025-01-23,548.7999877929688,552.0,530.75,535.7999877929688,1841473,Construction Materials
2025-01-24,551.7999877929688,561.9000244140625,547.0,551.9000244140625,3859868,Construction Materials
2025-01-27,534.9000244140625,552.2000122070312,533.3499755859375,548.75,1868811,Construction Materials
2025-01-28,543.1500244140625,550.9500122070312,526.1500244140625,539.9000244140625,1310270,Construction Materials
2025-01-29,522.0999755859375,551.0999755859375,518.0,543.0,11092387,Construction Materials
2025-01-30,509.54998779296875,528.2999877929688,497.1000061035156,528.2999877929688,10002380,Construction Materials
2025-01-31,512.7999877929688,518.2999877929688,509.54998779296875,511.0,2315032,Construction Materials
2025-02-01,501.5,517.7000122070312,487.0,516.0,5527354,Construction Materials
2025-02-03,495.1499938964844,500.0,486.54998779296875,500.0,4400205,Construction Materials
2025-02-04,513.7000122070312,514.75,497.5,498.20001220703125,3229502,Construction Materials
2025-02-05,521.7999877929688,526.3499755859375,512.25,516.9000244140625,1748997,Construction Materials
2025-02-06,514.1500244140625,524.4500122070312,512.0,521.5,745901,Construction Materials
2025-02-07,512.75,522.4500122070312,507.29998779296875,514.1500244140625,2084178,Construction Materials
2025-02-10,506.75,519.9500122070312,504.04998779296875,517.0,2018861,Construction Materials
2025-02-11,499.8999938964844,512.0999755859375,493.3500061035156,508.0,2784189,Construction Materials
2025-02-12,501.1000061035156,505.6000061035156,481.29998779296875,502.0,1909072,Construction Materials
2025-02-13,502.5,510.54998779296875,500.04998779296875,505.0,1036149,Construction Materials
2025-02-14,489.5,508.1499938964844,483.79998779296875,502.75,2619355,Construction Materials
2025-02-17,488.29998779296875,490.6499938964844,479.20001220703125,488.0,2529934,Construction Materials
2025-02-18,486.75,493.45001220703125,474.1000061035156,491.8999938964844,2265606,Construction Materials
2025-02-19,479.8999938964844,490.3999938964844,474.04998779296875,478.04998779296875,1721933,Construction Materials
2025-02-20,482.8500061035156,484.29998779296875,477.6000061035156,480.04998779296875,1676642,Construction Materials
2025-02-21,481.95001220703125,486.5,476.0,483.1000061035156,3329038,Construction Materials
2025-02-24,470.3999938964844,478.8999938964844,469.0,477.0,2118594,Construction Materials
2025-02-25,469.25,473.8500061035156,466.70001220703125,472.0,3465845,Construction Materials
2025-02-27,469.79998779296875,472.8500061035156,459.1499938964844,470.0,4261863,Construction Materials
2025-02-28,464.95001220703125,468.6499938964844,458.0,467.8999938964844,3502154,Construction Materials
2025-03-03,471.79998779296875,474.1000061035156,455.0,465.0,2019207,Construction Materials
2025-03-04,475.0,480.8500061035156,465.6499938964844,469.8999938964844,1247846,Construction Materials
2025-03-05,491.1000061035156,493.0,474.0,474.04998779296875,2223913,Construction Materials
2025-03-06,498.5,500.6499938964844,487.0,491.1499938964844,3280234,Construction Materials
2025-03-07,499.79998779296875,505.3999938964844,491.95001220703125,497.5,1851476,Construction Materials
2025-03-10,489.6000061035156,508.0,486.8999938964844,498.0,1626327,Construction Materials
2025-03-11,495.54998779296875,497.04998779296875,480.1000061035156,485.0,1903051,Construction Materials
2025-03-12,489.20001220703125,501.95001220703125,485.3999938964844,495.54998779296875,2004582,Construction Materials
2025-03-13,485.79998779296875,493.6000061035156,484.3999938964844,491.8999938964844,1626551,Construction Materials
2025-03-17,490.54998779296875,494.75,486.1000061035156,488.0,2759538,Construction Materials
2025-03-18,490.54998779296875,490.54998779296875,490.54998779296875,490.54998779296875,0,Construction Materials
2025-03-19,507.04998779296875,508.75,498.0,498.0,1284144,Construction Materials
2025-03-20,504.70001220703125,512.4500122070312,503.3999938964844,508.0,1239801,Construction Materials
2025-03-21,514.5,517.0,505.0,505.0,4271244,Construction Materials
2025-03-24,519.2999877929688,522.0,510.54998779296875,516.9000244140625,2892707,Construction Materials
2025-03-25,520.5499877929688,538.6500244140625,518.1500244140625,530.0,6690237,Construction Materials
2025-03-26,532.4500122070312,537.7000122070312,519.5499877929688,522.0,4409160,Construction Materials
2025-03-27,542.7999877929688,545.2999877929688,526.2000122070312,530.0499877929688,3250046,Construction Materials
2025-03-28,538.3499755859375,552.0,536.2999877929688,544.9000244140625,1557007,Construction Materials
2025-04-01,529.9000244140625,542.8499755859375,529.2000122070312,538.0,953159,Construction Materials
2025-04-02,534.0499877929688,536.5499877929688,524.3499755859375,527.5999755859375,1395075,Construction Materials
2025-04-03,540.7000122070312,544.2000122070312,530.5,530.6500244140625,857218,Construction Materials
2025-04-04,528.2000122070312,543.9500122070312,525.5999755859375,540.5999755859375,1254580,Construction Materials
2025-04-07,525.2000122070312,532.0,480.3500061035156,495.0,3055609,Construction Materials
2025-04-08,536.7999877929688,539.0999755859375,527.4500122070312,535.0,1899103,Construction Materials
2025-04-09,547.7999877929688,552.2999877929688,531.1500244140625,536.7999877929688,4262270,Construction Materials
