Date,Close,High,Low,Open,Volume,Sector
2025-01-13,2424.052978515625,2532.1992009923697,2370.0045406333397,2486.919480346857,2431897,Financial Services
2025-01-14,2348.751708984375,2403.5925941625324,2253.0894839663088,2348.206718117921,6227921,Financial Services
2025-01-15,2474.3857421875,2503.7629991790127,2355.1423225360163,2358.659726929027,2848896,Financial Services
2025-01-16,2462.64453125,2544.088611001533,2432.623107173078,2487.9100454511167,1609570,Financial Services
2025-01-17,2431.9296875,2471.512279583544,2419.5446310348343,2462.1492252750054,685877,Financial Services
2025-01-20,2563.706787109375,2585.0090850505735,2407.803593558205,2431.9297812405644,1957385,Financial Services
2025-01-21,2512.760986328125,2574.3037321084894,2469.775539126973,2560.2240893404046,1096699,Financial Services
2025-01-22,2430.222900390625,2510.2235866364063,2378.132740882375,2502.512068334382,1310829,Financial Services
2025-01-23,2419.376953125,2481.616419118808,2385.894134296614,2421.9143400702405,1226568,Financial Services
2025-01-24,2322.75927734375,2427.5860339925966,2308.480432668605,2402.113292216733,1348312,Financial Services
2025-01-27,2201.663330078125,2300.5201201278073,2177.633340354544,2295.1965875573696,1867083,Financial Services
2025-01-28,2174.94677734375,2237.932519007652,2139.6230474183626,2204.797816717317,1604031,Financial Services
2025-01-29,2285.146728515625,2307.136847123175,2171.2152683462496,2187.135821732363,1277478,Financial Services
2025-01-30,2266.489990234375,2317.385915767092,2243.803151469758,2298.530057603167,1305817,Financial Services
2025-01-31,2334.450927734375,2343.306639092926,2248.877946434166,2276.639316452066,769979,Financial Services
2025-02-01,2466.59130859375,2507.4873300770746,2285.097084730953,2333.1573071431067,1421743,Financial Services
2025-02-03,2314.201904296875,2411.9142611726415,2293.306176041373,2411.9142611726415,1129582,Financial Services
2025-02-04,2338.6796875,2376.391401962432,2295.644440714749,2324.45064402348,838489,Financial Services
2025-02-05,2485.79541015625,2524.253643528506,2368.1823680272914,2368.1823680272914,2741969,Financial Services
2025-02-06,2426.391845703125,2491.5666112940844,2419.3768032637686,2486.093921053622,658313,Financial Services
2025-02-07,2400.819580078125,2472.2631143904073,2389.4264822631085,2427.8844731604686,730037,Financial Services
2025-02-10,2331.167236328125,2414.8993053034883,2318.4307441693295,2400.81966211862,617701,Financial Services
2025-02-11,2249.27587890625,2347.734511239738,2201.066497572437,2338.231881524419,1137159,Financial Services
2025-02-12,2336.9384765625,2368.1824674065106,2184.101057124912,2267.435209076717,2177325,Financial Services
2025-02-13,2301.1171875,2357.286843899645,2289.574688595616,2336.9384342576886,702919,Financial Services
