Date,Close,High,Low,Open,Volume,Sector
2025-01-13,1674.1500244140625,1700.0,1666.5999755859375,1689.5999755859375,1177882,Financial Services
2025-01-14,1713.5,1730.0,1684.0,1689.0,2084348,Financial Services
2025-01-15,1671.6500244140625,1730.449951171875,1650.0,1721.0999755859375,2098490,Financial Services
2025-01-16,1697.3499755859375,1705.949951171875,1679.199951171875,1680.0,1105433,Financial Services
2025-01-17,1680.6500244140625,1698.4000244140625,1670.949951171875,1686.0999755859375,905680,Financial Services
2025-01-20,1735.199951171875,1738.0,1674.4000244140625,1686.300048828125,1674215,Financial Services
2025-01-21,1717.0,1751.0,1711.0,1745.0,2008953,Financial Services
2025-01-22,1743.300048828125,1746.8499755859375,1710.5,1720.0,1369310,Financial Services
2025-01-23,1746.1500244140625,1766.0,1730.449951171875,1742.550048828125,1888122,Financial Services
2025-01-24,1728.699951171875,1754.9000244140625,1725.0,1751.0,747930,Financial Services
2025-01-27,1711.5999755859375,1732.6500244140625,1702.0,1714.8499755859375,1017680,Financial Services
2025-01-28,1768.949951171875,1788.050048828125,1715.0,1732.949951171875,2439528,Financial Services
2025-01-29,1790.4000244140625,1804.949951171875,1767.25,1776.949951171875,1880079,Financial Services
2025-01-30,1745.199951171875,1856.0,1741.0,1825.0,5190089,Financial Services
2025-01-31,1736.0999755859375,1753.699951171875,1698.199951171875,1713.5999755859375,1917476,Financial Services
2025-02-01,1754.0,1780.0,1617.0,1747.0,2887325,Financial Services
2025-02-03,1794.8499755859375,1805.0,1733.3499755859375,1735.0,2918355,Financial Services
2025-02-04,1813.25,1818.9000244140625,1772.800048828125,1800.0,2285643,Financial Services
2025-02-05,1796.75,1826.550048828125,1780.0,1811.0,1286850,Financial Services
2025-02-06,1788.0,1812.949951171875,1779.449951171875,1808.0,1119866,Financial Services
2025-02-07,1798.3499755859375,1822.0,1784.3499755859375,1801.0,1748940,Financial Services
2025-02-10,1792.4000244140625,1806.949951171875,1774.800048828125,1804.9000244140625,908769,Financial Services
2025-02-11,1744.8499755859375,1795.300048828125,1742.0,1792.4000244140625,1944713,Financial Services
2025-02-12,1788.699951171875,1800.8499755859375,1727.25,1749.0,1888823,Financial Services
2025-02-13,1849.25,1853.5,1796.6500244140625,1803.949951171875,4070038,Financial Services
2025-02-14,1841.300048828125,1867.5999755859375,1825.0,1853.5,1823774,Financial Services
2025-02-17,1894.8499755859375,1898.75,1830.449951171875,1841.300048828125,3022597,Financial Services
2025-02-18,1893.699951171875,1913.800048828125,1880.800048828125,1892.0,2116513,Financial Services
2025-02-19,1875.3499755859375,1899.199951171875,1868.050048828125,1891.050048828125,768994,Financial Services
2025-02-20,1881.25,1887.5,1861.050048828125,1867.8499755859375,1012144,Financial Services
2025-02-21,1879.3499755859375,1893.300048828125,1866.4000244140625,1872.199951171875,852037,Financial Services
2025-02-24,1857.800048828125,1889.9000244140625,1853.0,1868.0,1076484,Financial Services
2025-02-25,1875.0999755859375,1896.0,1857.800048828125,1857.800048828125,1761019,Financial Services
2025-02-27,1925.550048828125,1938.800048828125,1881.0,1882.1500244140625,2878330,Financial Services
2025-02-28,1872.300048828125,1920.0,1862.550048828125,1911.050048828125,1797567,Financial Services
2025-03-03,1838.550048828125,1884.699951171875,1818.699951171875,1884.699951171875,1046987,Financial Services
2025-03-04,1790.300048828125,1833.5,1785.25,1829.75,1443339,Financial Services
2025-03-05,1801.800048828125,1808.800048828125,1733.0,1787.0,2143253,Financial Services
2025-03-06,1845.449951171875,1853.0,1784.0999755859375,1818.800048828125,2176883,Financial Services
2025-03-07,1845.300048828125,1865.550048828125,1836.5,1845.1500244140625,1332323,Financial Services
2025-03-10,1840.3499755859375,1888.75,1835.0,1844.75,1703046,Financial Services
2025-03-11,1805.4000244140625,1836.8499755859375,1788.25,1830.0,2298735,Financial Services
2025-03-12,1819.449951171875,1824.3499755859375,1800.0,1814.0,1196955,Financial Services
2025-03-13,1807.449951171875,1840.0,1803.1500244140625,1828.0,1333932,Financial Services
2025-03-17,1871.5999755859375,1880.9000244140625,1797.1500244140625,1820.0,6994837,Financial Services
2025-03-18,1871.5999755859375,1871.5999755859375,1871.5999755859375,1871.5999755859375,0,Financial Services
2025-03-19,1842.25,1864.4000244140625,1840.0,1855.0,2411880,Financial Services
2025-03-20,1851.8499755859375,1855.0,1814.0999755859375,1842.25,2306910,Financial Services
2025-03-21,1847.25,1880.0,1825.0,1878.0,3537391,Financial Services
2025-03-24,1894.1500244140625,1898.699951171875,1845.5,1855.3499755859375,1864839,Financial Services
2025-03-25,1945.050048828125,1954.4000244140625,1894.9000244140625,1905.0,3512725,Financial Services
2025-03-26,1943.4000244140625,1978.0,1935.0,1951.0,2779682,Financial Services
2025-03-27,2005.75,2011.5,1932.5999755859375,1940.0,4506778,Financial Services
2025-03-28,2007.3499755859375,2022.0,1994.199951171875,1995.75,1907116,Financial Services
2025-04-01,1937.0999755859375,2002.0,1932.5,1998.0,2125921,Financial Services
2025-04-02,1930.949951171875,1963.5,1920.949951171875,1946.300048828125,1057344,Financial Services
2025-04-03,1920.449951171875,1950.0,1904.949951171875,1915.0,1598430,Financial Services
2025-04-04,1912.300048828125,1929.949951171875,1897.0,1912.0,2120708,Financial Services
2025-04-07,1852.6500244140625,1894.0,1823.5,1835.0,2594074,Financial Services
2025-04-08,1903.199951171875,1934.0,1873.699951171875,1890.0,3182018,Financial Services
2025-04-09,1895.699951171875,1918.300048828125,1878.0,1899.0,1394829,Financial Services
