Date,Close,High,Low,Open,Volume,Sector
2025-01-13,10314.7998046875,10846.650390625,10245.099609375,10827.849609375,45192,Financial Services
2025-01-14,10620.599609375,10717.25,10315.0498046875,10499.0,26276,Financial Services
2025-01-15,10849.150390625,10970.0,10600.0,10600.0,36677,Financial Services
2025-01-16,10937.349609375,11099.9501953125,10761.0498046875,11099.0,23836,Financial Services
2025-01-17,10802.099609375,10999.9501953125,10780.0,10937.0,15135,Financial Services
2025-01-20,10861.7998046875,11057.9501953125,10800.0,10843.9501953125,21529,Financial Services
2025-01-21,10797.0,11022.5498046875,10665.5498046875,10910.0,20940,Financial Services
2025-01-22,11286.400390625,11423.4501953125,10890.7998046875,10900.150390625,376194,Financial Services
2025-01-23,11198.2998046875,11365.0,11082.7001953125,11200.0498046875,42202,Financial Services
2025-01-24,11290.099609375,11310.0,11101.400390625,11160.0498046875,28427,Financial Services
2025-01-27,11193.2001953125,11307.9501953125,11102.150390625,11286.0,33246,Financial Services
2025-01-28,11029.2998046875,11328.2001953125,10986.099609375,11150.0,80284,Financial Services
2025-01-29,11426.849609375,11498.0,11029.2998046875,11029.2998046875,49369,Financial Services
2025-01-30,11206.0498046875,11867.5,11106.099609375,11601.2001953125,101370,Financial Services
2025-01-31,11559.7001953125,11849.9501953125,11193.099609375,11250.0,81560,Financial Services
2025-02-01,11754.0,11845.25,11514.0498046875,11561.9501953125,25068,Financial Services
2025-02-03,12205.0,12419.4501953125,11681.099609375,11700.0,100514,Financial Services
2025-02-04,11735.849609375,12368.849609375,11560.0,12205.0,54181,Financial Services
2025-02-05,11381.900390625,11855.0,11325.2001953125,11771.7998046875,101219,Financial Services
2025-02-06,11424.400390625,11711.849609375,11360.0,11481.900390625,74724,Financial Services
2025-02-07,11271.150390625,11478.5498046875,11200.0,11440.0,167122,Financial Services
2025-02-10,11523.2001953125,11700.0,11238.5498046875,11262.599609375,84954,Financial Services
2025-02-11,11513.599609375,11628.400390625,11340.849609375,11500.0,87425,Financial Services
2025-02-12,11877.099609375,11994.599609375,11250.0,11480.0498046875,88894,Financial Services
2025-02-13,12142.650390625,12376.349609375,11635.099609375,11639.5498046875,102223,Financial Services
2025-02-14,12075.2001953125,12250.0,11851.0498046875,12100.2001953125,120567,Financial Services
2025-02-17,12013.650390625,12094.0,11602.0498046875,12032.599609375,94605,Financial Services
2025-02-18,11994.150390625,12245.0,11849.900390625,12012.0,33973,Financial Services
2025-02-19,11732.099609375,12475.0,11636.0,11991.0,78087,Financial Services
2025-02-20,12454.2998046875,12586.599609375,11730.0,11740.0,118067,Financial Services
2025-02-21,12207.849609375,12569.0,12125.0,12440.0,45778,Financial Services
2025-02-24,12001.849609375,12603.900390625,11871.2998046875,12407.849609375,151381,Financial Services
2025-02-25,11642.0498046875,12097.25,11561.099609375,12053.0,69293,Financial Services
2025-02-27,12068.650390625,12449.0,11759.0,11759.0,250322,Financial Services
2025-02-28,11574.349609375,12000.0,11202.0,11854.150390625,182651,Financial Services
2025-03-03,11346.75,11836.099609375,11303.650390625,11594.75,60270,Financial Services
2025-03-04,11209.150390625,11444.9501953125,11082.650390625,11343.75,69989,Financial Services
2025-03-05,11560.0,11595.0,11225.0,11225.0,40281,Financial Services
2025-03-06,11361.9501953125,12095.0,11299.0,11676.099609375,139333,Financial Services
2025-03-07,11774.9501953125,11907.9501953125,11435.0498046875,11450.150390625,138683,Financial Services
2025-03-10,11637.2001953125,12015.0,11536.0498046875,11838.099609375,83095,Financial Services
2025-03-11,11384.5498046875,11705.0,11315.5498046875,11587.2001953125,78819,Financial Services
2025-03-12,11458.2998046875,11582.0498046875,11283.7998046875,11454.0,63518,Financial Services
2025-03-13,11320.2001953125,11589.9501953125,11285.25,11543.9501953125,40038,Financial Services
2025-03-17,11566.599609375,11722.400390625,11311.2998046875,11442.849609375,85256,Financial Services
2025-03-18,11566.599609375,11566.599609375,11566.599609375,11566.599609375,0,Financial Services
2025-03-19,11870.0498046875,11900.0,11527.5,11699.9501953125,67825,Financial Services
2025-03-20,11998.7001953125,12049.849609375,11802.9501953125,11870.0498046875,51283,Financial Services
2025-03-21,12273.5498046875,12390.0,11950.0,12005.0,161147,Financial Services
2025-03-24,12435.5,12550.0,12338.0,12400.0,41834,Financial Services
2025-03-25,12521.5,12795.0,12451.0,12570.0,46286,Financial Services
2025-03-26,12599.0498046875,12800.0,12460.099609375,12521.099609375,63984,Financial Services
2025-03-27,12462.5498046875,12681.0,12203.349609375,12599.0498046875,116843,Financial Services
2025-03-28,12473.0498046875,12899.9501953125,12434.7001953125,12562.5498046875,51564,Financial Services
2025-04-01,11911.4501953125,12532.0,11806.099609375,12499.0,57842,Financial Services
2025-04-02,11515.099609375,12055.5,11405.0,11989.0,209700,Financial Services
2025-04-03,11499.849609375,11699.650390625,11400.0498046875,11499.9501953125,61864,Financial Services
2025-04-04,11506.900390625,11639.900390625,11201.150390625,11506.349609375,63954,Financial Services
2025-04-07,10779.599609375,10955.349609375,10400.0,10400.0,82134,Financial Services
2025-04-08,10811.75,11249.9501953125,10625.599609375,11249.9501953125,184342,Financial Services
2025-04-09,11092.2998046875,11234.0,10538.75,10776.5,148878,Financial Services
