Date,Close,High,Low,Open,Volume,Sector
2025-01-13,3593.02734375,3663.706953735856,3551.697867294238,3648.7824341115706,269509,Capital Goods
2025-01-14,3508.27197265625,3632.809762679404,3499.087671355519,3593.876104876574,240136,Capital Goods
2025-01-15,3501.4833984375,3599.3666534994745,3468.789109739093,3545.957662801313,444646,Capital Goods
2025-01-16,3586.239013671875,3626.4205428592636,3536.02453217835,3544.5600361917886,215947,Capital Goods
2025-01-17,3628.81640625,3658.7653724638926,3550.499908345733,3586.239056772707,296002,Capital Goods
2025-01-20,3785.000244140625,3817.095699404357,3623.8749022152892,3633.8079273375365,317892,Capital Goods
2025-01-21,3667.00146484375,3807.961221947985,3647.285061405197,3788.8938590350067,176993,Capital Goods
2025-01-22,3608.001708984375,3691.210016031281,3540.4169252520005,3673.7397860703486,154921,Capital Goods
2025-01-23,3659.114990234375,3741.4746499261914,3577.703665757582,3598.8675538060515,148173,Capital Goods
2025-01-24,3630.962646484375,3714.6701044304227,3586.88784875531,3662.7585630624085,133424,Capital Goods
2025-01-27,3447.525146484375,3588.534858858093,3424.165050915771,3588.534858858093,149531,Capital Goods
2025-01-28,3346.7470703125,3485.0114667955118,3265.435674338853,3448.124371496912,235874,Capital Goods
2025-01-29,3488.905029296875,3508.0223558575935,3349.2928297957387,3349.2928297957387,143272,Capital Goods
2025-01-30,3534.5771484375,3575.207864527086,3495.543564337183,3522.9967838200537,96966,Capital Goods
2025-01-31,3838.15966796875,3875.3962650617786,3537.97124249844,3537.97124249844,877143,Capital Goods
2025-02-01,3662.20947265625,3972.23123816757,3626.3706404026666,3882.983415905953,659753,Capital Goods
2025-02-03,3461.45166015625,3621.928202385497,3439.139583077799,3613.8418841049734,247528,Capital Goods
2025-02-04,3418.375,3550.6496025228435,3386.179860895383,3493.047805490034,269583,Capital Goods
2025-02-05,3381.587890625,3542.5635889269165,3367.262203859632,3439.039797581336,403197,Capital Goods
2025-02-06,3273.072509765625,3418.0257014285135,3236.4849534787613,3414.7312663952093,516105,Capital Goods
2025-02-07,3127.0712890625,3270.4271045672317,3114.692480540221,3270.4271045672317,401143,Capital Goods
2025-02-10,3080.001708984375,3191.461684683812,3057.290408804683,3145.6398622509573,269268,Capital Goods
2025-02-11,2937.045166015625,3089.53531460694,2915.431849783703,3080.001511891031,291495,Capital Goods
2025-02-12,2879.093994140625,2958.0595337030545,2779.2641053007974,2932.303373637316,383979,Capital Goods
2025-02-13,2934.25,3045.7599367954663,2885.13374356517,2885.13374356517,453988,Capital Goods
2025-02-14,2759.85009765625,2968.199951171875,2712.39990234375,2945.0,350312,Capital Goods
2025-02-17,2691.60009765625,2844.0,2651.300048828125,2749.0,518796,Capital Goods
2025-02-18,2587.39990234375,2692.89990234375,2556.0,2689.949951171875,322250,Capital Goods
2025-02-19,2651.89990234375,2690.0,2536.550048828125,2560.5,484418,Capital Goods
2025-02-20,2624.550048828125,2690.0,2612.0,2633.0,513806,Capital Goods
2025-02-21,2634.199951171875,2729.800048828125,2618.85009765625,2625.0,391868,Capital Goods
2025-02-24,2639.949951171875,2672.800048828125,2536.199951171875,2610.0,324629,Capital Goods
2025-02-25,2621.10009765625,2673.949951171875,2595.199951171875,2631.0,209535,Capital Goods
2025-02-27,2570.10009765625,2618.949951171875,2552.550048828125,2607.0,198883,Capital Goods
2025-02-28,2454.60009765625,2588.699951171875,2447.89990234375,2532.5,284330,Capital Goods
2025-03-03,2414.39990234375,2502.0,2350.0,2456.199951171875,345141,Capital Goods
2025-03-04,2491.449951171875,2516.85009765625,2364.39990234375,2370.199951171875,316269,Capital Goods
2025-03-05,2536.75,2550.0,2472.050048828125,2477.800048828125,173520,Capital Goods
2025-03-06,2582.0,2607.699951171875,2546.800048828125,2546.800048828125,181483,Capital Goods
2025-03-07,2668.800048828125,2714.5,2576.85009765625,2582.0,393193,Capital Goods
2025-03-10,2568.75,2697.0,2549.0,2668.699951171875,224290,Capital Goods
2025-03-11,2437.550048828125,2534.0,2430.0,2514.449951171875,463108,Capital Goods
2025-03-12,2490.10009765625,2532.0,2452.550048828125,2454.0,322802,Capital Goods
2025-03-13,2553.699951171875,2641.10009765625,2470.0,2530.0,769797,Capital Goods
2025-03-17,2517.64990234375,2581.949951171875,2495.5,2567.0,245316,Capital Goods
2025-03-18,2517.64990234375,2517.64990234375,2517.64990234375,2517.64990234375,0,Capital Goods
2025-03-19,2742.300048828125,2762.0,2570.0,2573.25,857319,Capital Goods
2025-03-20,2743.85009765625,2830.0,2699.0,2760.050048828125,487347,Capital Goods
2025-03-21,2794.64990234375,2878.0,2747.35009765625,2749.0,522807,Capital Goods
2025-03-24,2897.949951171875,2988.0,2830.0,2831.60009765625,912569,Capital Goods
2025-03-25,2781.64990234375,2958.0,2764.199951171875,2925.0,437199,Capital Goods
2025-03-26,2760.39990234375,2819.949951171875,2735.10009765625,2765.050048828125,375536,Capital Goods
2025-03-27,3140.39990234375,3265.0,2721.199951171875,2749.699951171875,1686265,Capital Goods
2025-03-28,3219.550048828125,3367.89990234375,3165.800048828125,3199.800048828125,2298536,Capital Goods
2025-04-01,3169.89990234375,3253.949951171875,3140.25,3227.85009765625,360569,Capital Goods
2025-04-02,3124.800048828125,3196.449951171875,3068.0,3190.050048828125,272978,Capital Goods
2025-04-03,3154.449951171875,3180.0,3065.050048828125,3071.39990234375,269554,Capital Goods
2025-04-04,2954.75,3152.050048828125,2935.89990234375,3152.050048828125,347518,Capital Goods
2025-04-07,2765.35009765625,2815.949951171875,2451.300048828125,2452.550048828125,622242,Capital Goods
2025-04-08,2875.10009765625,2900.0,2798.0,2900.0,308135,Capital Goods
2025-04-09,2988.699951171875,3033.0,2780.0,2850.0,585402,Capital Goods
