Date,Close,High,Low,Open,Volume,Sector
2025-01-13,613.87841796875,642.321818402059,606.9921575701045,633.738921935129,7709813,Capital Goods
2025-01-14,638.8787231445312,648.7091372433334,604.7965187222462,604.7965187222462,7807377,Capital Goods
2025-01-15,609.0879516601562,642.8208137652451,607.1418121146056,641.8727491658226,5275014,Capital Goods
2025-01-16,625.7548217773438,631.7429061962657,613.8285414602019,615.2257855235282,4214089,Capital Goods
2025-01-17,647.86083984375,650.9047704895964,618.7188176294392,623.7587763596365,3742975,Capital Goods
2025-01-20,682.6416015625,685.3861401652732,646.5134812268424,649.2081313105355,4386737,Capital Goods
2025-01-21,656.7431030273438,681.6435646053037,652.5514320285347,681.6435646053037,2831678,Capital Goods
2025-01-22,635.9844360351562,664.9767312149748,613.7287355092997,662.2820811706016,9176460,Capital Goods
2025-01-23,626.6530151367188,646.0643387108677,622.4613441527858,633.7388901730777,2723623,Capital Goods
2025-01-24,619.3175659179688,639.5273491047229,615.8744054885486,631.6929636917298,3027288,Capital Goods
2025-01-27,594.2674560546875,616.7227713408034,586.7823509593155,616.7227713408034,4511585,Capital Goods
2025-01-28,573.8081665039062,601.5030552462508,516.7217530215826,597.81039123115,22929049,Capital Goods
2025-01-29,624.5072631835938,628.7488227018202,573.8081639485208,573.8081639485208,11394085,Capital Goods
2025-01-30,619.3674926757812,631.543276221613,612.6308978642614,624.8066814100932,3481632,Capital Goods
2025-01-31,633.5891723632812,643.7190389700138,617.7706746084318,622.461352656583,2550206,Capital Goods
2025-02-01,610.7846069335938,645.7150991601882,596.1636765360272,637.7309866512524,2701115,Capital Goods
2025-02-03,584.3372192382812,608.7386746497222,574.3570788584643,608.7386746497222,4695680,Capital Goods
2025-02-04,602.6507568359375,607.5909385425276,590.6246997739166,590.6246997739166,3824032,Capital Goods
2025-02-05,628.349609375,629.6470763460883,601.8024605234559,605.9941316352636,3310308,Capital Goods
2025-02-06,613.4293212890625,631.5432385992544,607.6407914350666,630.7448395926846,1563407,Capital Goods
2025-02-07,616.2237548828125,623.708859863378,609.2376569009514,615.7746364011905,1384156,Capital Goods
2025-02-10,590.8242797851562,615.2756224451838,582.5906643996367,615.2756224451838,4093785,Capital Goods
2025-02-11,586.832275390625,591.1237237251485,572.3610713206181,590.8243316857994,2902387,Capital Goods
2025-02-12,575.6046142578125,584.7863558747963,559.8858926720985,582.8402162575857,2821502,Capital Goods
2025-02-13,578.34912109375,593.4191083390718,574.2073385702113,581.8421701426337,1632132,Capital Goods
2025-02-14,551.2530517578125,582.7903331789942,547.5604483994302,580.7444165013633,3352198,Capital Goods
2025-02-17,581.8421630859375,585.8342190933882,536.0332960348646,543.967519532461,4714045,Capital Goods
2025-02-18,577.6006469726562,587.9800177373974,567.919898244494,584.8362490297651,2217415,Capital Goods
2025-02-19,583.039794921875,594.1177260311426,563.4287953238046,569.8659978500832,1964251,Capital Goods
2025-02-20,594.6167602539062,597.6108024111907,571.4129335349517,583.039821611317,2044206,Capital Goods
2025-02-21,588.7783813476562,598.908187069015,580.345150723571,592.8203259325901,1720514,Capital Goods
2025-02-24,601.303466796875,604.5969009882434,569.1175135948846,575.8541084511152,3126346,Capital Goods
2025-02-25,597.3114013671875,610.4353103242074,594.4670857262541,599.5070444321947,3637028,Capital Goods
2025-02-27,579.1974487304688,596.9621481398532,573.8580977517481,596.812421661818,10087384,Capital Goods
2025-02-28,571.4628295898438,590.7744383073292,562.1314224421781,574.8561017784192,8538196,Capital Goods
2025-03-03,585.5348510742188,588.5787817218696,547.0614219083375,568.9677814159198,8035267,Capital Goods
2025-03-04,602.1018676757812,606.0939238989444,567.9697747849483,576.8521242470637,3140173,Capital Goods
2025-03-05,611.6828002929688,614.6268928393266,597.1117594559117,597.1117594559117,2801610,Capital Goods
2025-03-06,626.8526000976562,630.2458722313836,614.7267659451335,616.4234020119972,2970429,Capital Goods
2025-03-07,628.7987060546875,631.4933560269227,618.8684546107886,626.9524045274942,2350526,Capital Goods
2025-03-10,595.61474609375,643.7190333250119,588.8282630414838,633.7388932734614,3889248,Capital Goods
2025-03-11,606.9422607421875,611.7826044542666,581.8920718744058,588.8282816117737,2092189,Capital Goods
2025-03-12,607.1917724609375,619.2677181018589,593.3692413183559,611.283605700868,2390745,Capital Goods
2025-03-13,597.91015625,613.7287145188727,593.8183232620057,608.888310125432,1390950,Capital Goods
2025-03-17,608.8883666992188,616.9224287856802,592.920141396749,599.8064629240173,3660246,Capital Goods
2025-03-18,608.8883666992188,608.8883666992188,608.8883666992188,608.8883666992188,0,Capital Goods
2025-03-19,661.982666015625,664.9268194628262,632.042246377524,638.1800567689106,3345438,Capital Goods
2025-03-20,653.2999877929688,668.4698138847249,646.363838717064,667.6714148091472,2309340,Capital Goods
2025-03-21,641.25,658.9500122070312,631.6500244140625,658.9500122070312,3885409,Capital Goods
2025-03-24,632.9000244140625,653.0,631.2000122070312,644.0499877929688,4241713,Capital Goods
2025-03-25,626.9000244140625,652.5499877929688,625.0499877929688,640.0,3652822,Capital Goods
2025-03-26,635.7999877929688,648.0,626.0499877929688,626.9000244140625,4273715,Capital Goods
2025-03-27,637.1500244140625,642.7000122070312,627.2000122070312,636.0,14138019,Capital Goods
2025-03-28,638.5,648.0,630.0499877929688,634.0,2705597,Capital Goods
2025-04-01,615.0,646.0,610.25,636.6500244140625,3111743,Capital Goods
2025-04-02,623.5999755859375,628.0499877929688,606.75,610.0,2398461,Capital Goods
2025-04-03,615.9500122070312,626.4000244140625,607.75,618.0,2331069,Capital Goods
2025-04-04,575.2000122070312,619.1500244140625,570.75,612.5499877929688,4572903,Capital Goods
2025-04-07,540.5,555.4000244140625,517.7000122070312,520.0,4729481,Capital Goods
2025-04-08,549.4000244140625,562.5,538.2000122070312,556.0,2806157,Capital Goods
2025-04-09,551.0,555.0,537.5999755859375,550.0,2178868,Capital Goods
