Date,Close,High,Low,Open,Volume,Sector
2025-01-13,6030.75,6157.9501953125,6005.0,6094.0,453385,Information Technology
2025-01-14,5751.89990234375,6042.89990234375,5723.75,6030.75,469510,Information Technology
2025-01-15,5837.5498046875,5905.4501953125,5691.0,5766.0,315806,Information Technology
2025-01-16,5978.7998046875,6031.5498046875,5855.5498046875,5877.4501953125,507014,Information Technology
2025-01-17,5890.2998046875,5980.0,5770.0,5855.0,766633,Information Technology
2025-01-20,5825.2998046875,5898.75,5790.7001953125,5885.0,173144,Information Technology
2025-01-21,5758.39990234375,5881.89990234375,5740.9501953125,5821.0,157604,Information Technology
2025-01-22,5849.89990234375,5873.10009765625,5692.0,5745.0498046875,203767,Information Technology
2025-01-23,6002.0498046875,6059.7001953125,5821.0,5821.0,283420,Information Technology
2025-01-24,5998.14990234375,6047.9501953125,5961.60009765625,6023.60009765625,219285,Information Technology
2025-01-27,5685.7001953125,5928.10009765625,5620.0,5855.5498046875,418147,Information Technology
2025-01-28,5665.39990234375,5728.5,5610.0,5650.0,262239,Information Technology
2025-01-29,5882.75,5940.0,5674.9501953125,5674.9501953125,248653,Information Technology
2025-01-30,5840.25,5923.89990234375,5816.4501953125,5913.0498046875,178832,Information Technology
2025-01-31,5914.14990234375,5955.0,5823.25,5865.0,225354,Information Technology
2025-02-01,5906.2998046875,5948.85009765625,5863.14990234375,5914.14990234375,104183,Information Technology
2025-02-03,5790.64990234375,5869.7998046875,5733.4501953125,5850.0,315896,Information Technology
2025-02-04,5902.25,5917.64990234375,5819.9501953125,5832.25,251536,Information Technology
2025-02-05,6024.7001953125,6096.9501953125,5870.14990234375,5900.0,372380,Information Technology
2025-02-06,5944.85009765625,6084.9501953125,5906.35009765625,6050.7001953125,82706,Information Technology
2025-02-07,5956.60009765625,5997.0,5883.14990234375,5974.89990234375,96121,Information Technology
2025-02-10,5797.89990234375,6000.0,5775.0,5966.0,107380,Information Technology
2025-02-11,5677.7001953125,5816.9501953125,5651.0,5765.0,173609,Information Technology
2025-02-12,5705.5,5713.10009765625,5607.0498046875,5678.0,181440,Information Technology
2025-02-13,5601.4501953125,5744.9501953125,5580.0,5675.0498046875,240957,Information Technology
2025-02-14,5511.60009765625,5657.0498046875,5476.0498046875,5632.0,325701,Information Technology
2025-02-17,5472.60009765625,5524.60009765625,5412.14990234375,5485.0498046875,334769,Information Technology
2025-02-18,5668.60009765625,5685.0,5476.0,5501.25,368623,Information Technology
2025-02-19,5470.10009765625,5657.0,5460.0,5657.0,300572,Information Technology
2025-02-20,5395.25,5449.89990234375,5355.0498046875,5439.0,319665,Information Technology
2025-02-21,5298.5,5422.39990234375,5267.0,5385.10009765625,186213,Information Technology
2025-02-24,5047.4501953125,5283.0,4940.0,5235.0,1199262,Information Technology
2025-02-25,4963.2001953125,5061.9501953125,4927.0,5034.4501953125,486917,Information Technology
2025-02-27,4878.60009765625,4980.0,4862.0,4951.0,243046,Information Technology
2025-02-28,4665.9501953125,4849.0,4650.4501953125,4825.0,562521,Information Technology
2025-03-03,4834.2001953125,4853.64990234375,4631.0498046875,4667.89990234375,460970,Information Technology
2025-03-04,4685.0,4781.0,4640.0,4714.0,456566,Information Technology
2025-03-05,4773.5,4814.64990234375,4669.0,4669.0,437483,Information Technology
2025-03-06,4823.10009765625,4847.0,4783.4501953125,4804.0498046875,331678,Information Technology
2025-03-07,4721.9501953125,4814.0498046875,4697.35009765625,4814.0498046875,324150,Information Technology
2025-03-10,4670.9501953125,4780.0,4662.7001953125,4732.9501953125,253711,Information Technology
2025-03-11,4654.4501953125,4678.0,4522.0,4600.0,241860,Information Technology
2025-03-12,4485.89990234375,4669.10009765625,4466.0,4621.0,582088,Information Technology
2025-03-13,4467.0498046875,4578.0,4437.4501953125,4511.0,483273,Information Technology
2025-03-17,4359.7998046875,4445.0,4239.0,4428.2001953125,1122866,Information Technology
2025-03-18,4359.7998046875,4359.7998046875,4359.7998046875,4359.7998046875,0,Information Technology
2025-03-19,4365.4501953125,4459.0,4326.0,4459.0,596998,Information Technology
2025-03-20,4421.14990234375,4515.0,4385.7001953125,4433.60009765625,867249,Information Technology
2025-03-21,4520.25,4532.7001953125,4259.7998046875,4350.0,748890,Information Technology
2025-03-24,4620.39990234375,4643.39990234375,4504.0,4559.0,465723,Information Technology
2025-03-25,4606.39990234375,4677.0498046875,4560.35009765625,4677.0498046875,646427,Information Technology
2025-03-26,4619.75,4658.9501953125,4581.2001953125,4625.0,359284,Information Technology
2025-03-27,4655.89990234375,4679.0,4559.5498046875,4587.0498046875,390826,Information Technology
2025-03-28,4491.35009765625,4626.39990234375,4475.0,4540.0498046875,447846,Information Technology
2025-04-01,4426.60009765625,4483.4501953125,4375.0,4474.60009765625,230709,Information Technology
2025-04-02,4499.89990234375,4508.9501953125,4396.60009765625,4449.75,269265,Information Technology
2025-04-03,4341.9501953125,4450.0,4303.5,4391.0,505177,Information Technology
2025-04-04,4136.25,4346.0,4101.0,4310.0,661108,Information Technology
2025-04-07,4057.14990234375,4100.0,3802.0,3900.0,433019,Information Technology
2025-04-08,4175.85009765625,4237.4501953125,4062.800048828125,4170.4501953125,390791,Information Technology
2025-04-09,4107.85009765625,4171.60009765625,4024.75,4114.75,564545,Information Technology
