Date,Close,High,Low,Open,Volume,Sector
2025-01-13,141.57000732421875,150.67999267578125,139.39999389648438,149.69000244140625,7639874,Financial Services
2025-01-14,142.94000244140625,144.63999938964844,141.72999572753906,142.0,5402611,Financial Services
2025-01-15,142.7100067138672,146.00999450683594,141.8000030517578,144.39999389648438,3448244,Financial Services
2025-01-16,155.00999450683594,155.99000549316406,144.0,144.0,9222705,Financial Services
2025-01-17,159.1699981689453,160.25,152.47000122070312,152.99000549316406,7723327,Financial Services
2025-01-20,157.63999938964844,160.0,156.22000122070312,159.25,2805977,Financial Services
2025-01-21,160.91000366210938,164.3000030517578,157.5500030517578,157.64999389648438,9664303,Financial Services
2025-01-22,161.7100067138672,163.89999389648438,158.57000732421875,162.52000427246094,10655660,Financial Services
2025-01-23,157.19000244140625,159.1199951171875,154.7100067138672,158.9499969482422,7940315,Financial Services
2025-01-24,154.86000061035156,159.82000732421875,154.0,159.8000030517578,8105927,Financial Services
2025-01-27,143.2899932861328,153.75,142.0500030517578,153.75,9610285,Financial Services
2025-01-28,146.5800018310547,148.8300018310547,140.55999755859375,145.5399932861328,8618313,Financial Services
2025-01-29,145.94000244140625,148.0,144.58999633789062,147.10000610351562,4369677,Financial Services
2025-01-30,140.8699951171875,146.67999267578125,140.10000610351562,146.0,6136766,Financial Services
2025-01-31,140.6999969482422,142.22999572753906,139.1999969482422,141.5,5808661,Financial Services
2025-02-01,142.77000427246094,146.13999938964844,141.49000549316406,141.5,3569804,Financial Services
2025-02-03,137.6300048828125,141.0,136.47999572753906,141.0,4335548,Financial Services
2025-02-04,141.2899932861328,142.0,136.66000366210938,140.08999633789062,7359868,Financial Services
2025-02-05,140.88999938964844,144.99000549316406,140.2100067138672,141.5,7708153,Financial Services
2025-02-06,147.86000061035156,149.8000030517578,141.47000122070312,142.0,8000023,Financial Services
2025-02-07,149.24000549316406,152.60000610351562,145.7100067138672,148.0,7419598,Financial Services
2025-02-10,143.08999633789062,149.85000610351562,142.14999389648438,149.1999969482422,4713666,Financial Services
2025-02-11,136.22999572753906,143.27000427246094,133.60000610351562,143.0,6569901,Financial Services
2025-02-12,125.31999969482422,136.60000610351562,120.19999694824219,136.60000610351562,19913320,Financial Services
2025-02-13,125.31999969482422,130.08999633789062,124.5,126.25,8110445,Financial Services
2025-02-14,122.19000244140625,126.94999694824219,118.52999877929688,126.0999984741211,13062718,Financial Services
2025-02-17,121.43000030517578,125.7699966430664,119.5999984741211,122.19000244140625,11736949,Financial Services
2025-02-18,117.93000030517578,123.19000244140625,115.11000061035156,122.0,6823503,Financial Services
2025-02-19,122.75,123.79000091552734,116.87999725341797,118.06999969482422,7267169,Financial Services
2025-02-20,121.4800033569336,124.73999786376953,121.05999755859375,122.0,5498523,Financial Services
2025-02-21,119.33000183105469,124.37000274658203,117.80000305175781,121.4800033569336,8635899,Financial Services
2025-02-24,116.58999633789062,119.83999633789062,115.80999755859375,119.33999633789062,6858958,Financial Services
2025-02-25,113.6500015258789,118.5,113.0,116.0999984741211,5654325,Financial Services
2025-02-27,112.23999786376953,115.69999694824219,111.5,114.06999969482422,8941345,Financial Services
2025-02-28,110.4000015258789,111.93000030517578,105.61000061035156,111.0,10745880,Financial Services
2025-03-03,108.91999816894531,112.37999725341797,103.8499984741211,111.04000091552734,9161270,Financial Services
2025-03-04,113.61000061035156,114.55000305175781,107.55999755859375,108.5,7647264,Financial Services
2025-03-05,117.08999633789062,118.19999694824219,113.9000015258789,113.9000015258789,6702385,Financial Services
2025-03-06,115.70999908447266,121.05000305175781,115.0,117.9000015258789,12433140,Financial Services
2025-03-07,116.83999633789062,119.5999984741211,115.05000305175781,115.1500015258789,10533999,Financial Services
2025-03-10,111.66999816894531,117.5999984741211,111.0999984741211,117.0,8299205,Financial Services
2025-03-11,110.12999725341797,111.83999633789062,108.4000015258789,110.44000244140625,9173133,Financial Services
2025-03-12,108.77999877929688,112.8499984741211,108.37000274658203,110.69999694824219,9778862,Financial Services
2025-03-13,107.56999969482422,110.6500015258789,107.2699966430664,109.01000213623047,7083673,Financial Services
2025-03-17,105.11000061035156,109.44000244140625,104.72000122070312,108.25,9990309,Financial Services
2025-03-18,105.11000061035156,105.11000061035156,105.11000061035156,105.11000061035156,0,Financial Services
2025-03-19,112.81999969482422,114.19999694824219,110.36000061035156,110.5,9918244,Financial Services
2025-03-20,110.51000213623047,115.5999984741211,110.19999694824219,114.9000015258789,8126669,Financial Services
2025-03-21,117.94999694824219,119.0,110.51000213623047,110.51000213623047,19688471,Financial Services
2025-03-24,119.0,120.9000015258789,118.08000183105469,119.0,10511437,Financial Services
2025-03-25,112.88999938964844,119.8499984741211,112.51000213623047,119.25,9893144,Financial Services
2025-03-26,110.22000122070312,113.69000244140625,110.0,112.95999908447266,9765855,Financial Services
2025-03-27,109.9800033569336,111.30000305175781,108.73999786376953,110.0,17074121,Financial Services
2025-03-28,107.0999984741211,113.12999725341797,106.26000213623047,110.5999984741211,13476376,Financial Services
