Date,Close,High,Low,Open,Volume,Sector
2025-01-13,8922.400390625,9493.0,8855.349609375,9480.0,122899,Chemicals
2025-01-14,9203.2998046875,9291.7998046875,8804.349609375,8989.900390625,131119,Chemicals
2025-01-15,9533.25,9571.0,9231.7001953125,9279.900390625,68886,Chemicals
2025-01-16,9635.150390625,9763.400390625,9506.150390625,9700.0,61156,Chemicals
2025-01-17,9713.400390625,9815.650390625,9540.0,9645.0,95797,Chemicals
2025-01-20,9748.5,9790.0,9652.650390625,9790.0,59302,Chemicals
2025-01-21,9581.849609375,9769.900390625,9512.0,9750.0,51492,Chemicals
2025-01-22,9300.5498046875,9656.9501953125,9080.0,9604.0,52019,Chemicals
2025-01-23,9558.900390625,9629.2001953125,9242.7001953125,9260.5,36406,Chemicals
2025-01-24,9478.2001953125,9660.2998046875,9340.400390625,9600.099609375,43743,Chemicals
2025-01-27,9309.099609375,9407.5498046875,9011.900390625,9399.849609375,49257,Chemicals
2025-01-28,9251.9501953125,9400.0,9101.0,9330.0498046875,41577,Chemicals
2025-01-29,9568.5498046875,9598.9501953125,9255.0,9255.0,42442,Chemicals
2025-01-30,10063.7001953125,10299.0,9782.7001953125,10003.0,343024,Chemicals
2025-01-31,10194.650390625,10280.0,10001.0,10229.0,315162,Chemicals
2025-02-01,10076.7998046875,10440.099609375,9864.650390625,10249.5498046875,100758,Chemicals
2025-02-03,9510.2998046875,10015.0,9452.5498046875,10015.0,76427,Chemicals
2025-02-04,9749.75,9835.0,9465.150390625,9556.150390625,64898,Chemicals
2025-02-05,9653.75,10084.9501953125,9600.0,9803.2998046875,320953,Chemicals
2025-02-06,9115.0,9896.0,9025.0,9800.0,497276,Chemicals
2025-02-07,9085.7998046875,9355.0,8951.099609375,9255.0,243310,Chemicals
2025-02-10,9174.9501953125,9230.0,9059.849609375,9140.0,101065,Chemicals
2025-02-11,8816.25,9150.0,8770.0,9150.0,114459,Chemicals
2025-02-12,8956.7998046875,9050.0,8627.5498046875,8821.75,103063,Chemicals
2025-02-13,8807.2001953125,9090.0,8751.099609375,8975.0,95399,Chemicals
2025-02-14,8862.400390625,8934.900390625,8650.0,8870.0,79277,Chemicals
2025-02-17,8619.349609375,8822.349609375,8551.25,8802.0498046875,89448,Chemicals
2025-02-18,8609.2001953125,8664.75,8500.0,8619.9501953125,44527,Chemicals
2025-02-19,8783.7001953125,8829.9501953125,8513.099609375,8580.0498046875,86726,Chemicals
2025-02-20,8935.650390625,8962.0,8700.0,8723.5,74941,Chemicals
2025-02-21,8850.5,8994.0,8751.0,8860.0,70395,Chemicals
2025-02-24,8865.9501953125,8904.900390625,8709.599609375,8800.0,48361,Chemicals
2025-02-25,8870.099609375,8918.0498046875,8800.0,8865.0,76811,Chemicals
2025-02-27,8723.5,8866.0,8662.0,8853.099609375,90581,Chemicals
2025-02-28,8710.599609375,8777.0,8482.5,8560.900390625,157759,Chemicals
2025-03-03,8977.7998046875,9029.9501953125,8649.900390625,8841.2998046875,130495,Chemicals
2025-03-04,9038.400390625,9140.0,8759.7001953125,8879.0,138848,Chemicals
2025-03-05,9238.349609375,9291.099609375,9053.0,9053.0,114123,Chemicals
2025-03-06,9386.849609375,9410.0,9240.0,9370.0,110566,Chemicals
2025-03-07,9486.5,9525.0,9315.5498046875,9329.9501953125,95337,Chemicals
2025-03-10,9837.099609375,10008.0,9445.0498046875,9480.099609375,329667,Chemicals
2025-03-11,9765.2998046875,9864.900390625,9576.0,9800.0,116288,Chemicals
2025-03-12,9781.099609375,9910.0,9615.0,9800.0,59512,Chemicals
2025-03-13,10097.150390625,10238.7001953125,9781.099609375,9859.349609375,252649,Chemicals
2025-03-17,10088.650390625,10199.7001953125,10025.0498046875,10125.2998046875,65188,Chemicals
2025-03-18,10088.650390625,10088.650390625,10088.650390625,10088.650390625,0,Chemicals
2025-03-19,10310.7998046875,10330.0,10033.75,10100.0,144527,Chemicals
2025-03-20,10424.4501953125,10446.400390625,10221.150390625,10325.0,92377,Chemicals
2025-03-21,10650.650390625,10698.849609375,10372.0,10489.0,171161,Chemicals
2025-03-24,10870.2998046875,10920.0,10650.7001953125,10699.0498046875,89375,Chemicals
2025-03-25,10772.7001953125,11015.0,10719.2998046875,11015.0,69035,Chemicals
2025-03-26,10981.400390625,11067.0,10721.0498046875,10750.0,105515,Chemicals
2025-03-27,10935.099609375,11190.0,10851.0,10955.0498046875,153789,Chemicals
2025-03-28,11244.0,11285.0,10949.9501953125,10950.0,116147,Chemicals
2025-04-01,11131.599609375,11419.7998046875,11090.349609375,11330.599609375,74995,Chemicals
2025-04-02,11194.9501953125,11221.599609375,11050.099609375,11131.599609375,55759,Chemicals
2025-04-03,11293.599609375,11341.0,11177.0,11190.0498046875,46220,Chemicals
2025-04-04,10987.099609375,11329.75,10913.2001953125,11215.0498046875,55500,Chemicals
2025-04-07,10645.25,10807.9501953125,9888.400390625,10283.0,139771,Chemicals
2025-04-08,10930.75,10999.0,10608.0,10879.900390625,79486,Chemicals
2025-04-09,10873.5498046875,10991.75,10802.2001953125,10930.0,38765,Chemicals
