Date,Close,High,Low,Open,Volume,Sector
2025-01-13,988.1500244140625,1055.5999755859375,974.0499877929688,1022.4500122070312,1072585,Telecommunication
2025-01-14,1056.949951171875,1066.800048828125,992.0,1005.0,1372573,Telecommunication
2025-01-15,1046.449951171875,1072.0,1037.050048828125,1065.0,832477,Telecommunication
2025-01-16,1050.5999755859375,1095.75,1047.5999755859375,1072.199951171875,733404,Telecommunication
2025-01-17,1059.4000244140625,1067.050048828125,1037.699951171875,1053.9000244140625,597148,Telecommunication
2025-01-20,1133.1500244140625,1150.0,1055.050048828125,1067.9000244140625,2577551,Telecommunication
2025-01-21,1069.800048828125,1135.5,1060.550048828125,1133.1500244140625,809188,Telecommunication
2025-01-22,1096.6500244140625,1114.0,1047.550048828125,1079.0,1519333,Telecommunication
2025-01-23,1096.25,1125.0,1080.800048828125,1095.0,665673,Telecommunication
2025-01-24,993.75,1048.0,986.0,1047.550048828125,3428587,Telecommunication
2025-01-27,895.5,975.5,861.2000122070312,970.0,4721596,Telecommunication
2025-01-28,856.7000122070312,894.2999877929688,822.8499755859375,891.9500122070312,2814297,Telecommunication
2025-01-29,886.0999755859375,893.5,859.6500244140625,867.4500122070312,1400749,Telecommunication
2025-01-30,866.0,925.0,857.0499877929688,892.0,1375318,Telecommunication
2025-01-31,916.1500244140625,922.2999877929688,860.0,866.0,1471986,Telecommunication
2025-02-01,886.7999877929688,947.5999755859375,881.0499877929688,916.1500244140625,1063400,Telecommunication
2025-02-03,852.0,886.7999877929688,844.0499877929688,868.25,753076,Telecommunication
2025-02-04,879.8499755859375,894.7999877929688,855.0,855.0499877929688,868006,Telecommunication
2025-02-05,891.0499877929688,909.7999877929688,885.0,885.0,575536,Telecommunication
2025-02-06,872.0,889.8499755859375,863.5499877929688,881.0499877929688,711673,Telecommunication
2025-02-07,868.7000122070312,887.5999755859375,860.2000122070312,872.0,523186,Telecommunication
2025-02-10,857.4000244140625,882.0,846.0,874.0,509831,Telecommunication
2025-02-11,824.2999877929688,857.0,814.0,855.0,816981,Telecommunication
2025-02-12,821.4000244140625,834.8499755859375,782.1500244140625,824.2999877929688,967304,Telecommunication
2025-02-13,827.8499755859375,847.7000122070312,815.5999755859375,816.7999877929688,616817,Telecommunication
2025-02-14,780.2000122070312,831.9500122070312,775.6500244140625,826.0,849944,Telecommunication
2025-02-17,780.7000122070312,790.0,748.2999877929688,780.2000122070312,1032923,Telecommunication
2025-02-18,768.75,786.5499877929688,750.0,776.5999755859375,800398,Telecommunication
2025-02-19,802.5999755859375,823.0,757.2000122070312,764.5,1044398,Telecommunication
2025-02-20,821.9000244140625,841.5,797.2999877929688,799.0,1072581,Telecommunication
2025-02-21,799.1500244140625,847.4000244140625,796.0499877929688,821.9000244140625,882271,Telecommunication
2025-02-24,760.3499755859375,792.7000122070312,752.25,792.0,2227687,Telecommunication
2025-02-25,761.7999877929688,793.9000244140625,760.0,760.7999877929688,1172559,Telecommunication
2025-02-27,740.5499877929688,767.7000122070312,730.9000244140625,755.0,822180,Telecommunication
2025-02-28,710.7000122070312,740.5499877929688,701.8499755859375,730.0,1060424,Telecommunication
2025-03-03,719.9000244140625,729.0,681.0,714.0,1179426,Telecommunication
2025-03-04,732.0499877929688,745.0,696.2999877929688,709.9500122070312,1006198,Telecommunication
2025-03-05,735.8499755859375,747.5999755859375,730.0999755859375,734.0,1277939,Telecommunication
2025-03-06,735.1500244140625,755.6500244140625,731.0999755859375,749.9500122070312,1087776,Telecommunication
2025-03-07,736.4500122070312,760.7000122070312,730.2999877929688,735.0,1431961,Telecommunication
2025-03-10,702.0,744.0999755859375,695.0,739.0,876358,Telecommunication
2025-03-11,686.7999877929688,711.6500244140625,676.2000122070312,693.0499877929688,1175665,Telecommunication
2025-03-12,676.0999755859375,695.7999877929688,671.2999877929688,690.0,878754,Telecommunication
2025-03-13,659.75,682.3499755859375,657.0,676.0999755859375,860568,Telecommunication
2025-03-17,649.7000122070312,689.0,646.5499877929688,667.5,2924980,Telecommunication
2025-03-18,649.7000122070312,649.7000122070312,649.7000122070312,649.7000122070312,0,Telecommunication
2025-03-19,710.4000244140625,725.25,673.5,673.5,2938822,Telecommunication
2025-03-20,710.5,737.2999877929688,706.2000122070312,721.0,1708580,Telecommunication
2025-03-21,799.9000244140625,835.0,709.2000122070312,714.2000122070312,17122444,Telecommunication
2025-03-24,822.8499755859375,844.4500122070312,804.0499877929688,811.0,4178380,Telecommunication
2025-03-25,797.5499877929688,841.5999755859375,787.0,831.0999755859375,1803498,Telecommunication
2025-03-26,748.6500244140625,807.0,746.2999877929688,796.9000244140625,2852060,Telecommunication
2025-03-27,776.4000244140625,787.3499755859375,741.0999755859375,748.7000122070312,4451431,Telecommunication
2025-03-28,760.4500122070312,799.7000122070312,756.0,785.0,1709221,Telecommunication
2025-04-01,791.7000122070312,815.7000122070312,759.1500244140625,759.1500244140625,5762206,Telecommunication
2025-04-02,803.0,809.5,771.0499877929688,795.0,1603638,Telecommunication
2025-04-03,876.3499755859375,904.0,784.0,784.0,27900527,Telecommunication
2025-04-04,842.6500244140625,883.7000122070312,827.0,875.1500244140625,5838138,Telecommunication
2025-04-07,796.2000122070312,808.7000122070312,731.0499877929688,731.0499877929688,4785790,Telecommunication
2025-04-08,820.1500244140625,845.4000244140625,804.3499755859375,820.0499877929688,2706332,Telecommunication
2025-04-09,807.5499877929688,819.8499755859375,799.1500244140625,810.5499877929688,1048983,Telecommunication
