Date,Close,High,Low,Open,Volume,Sector
2022-01-10,131.5931396484375,132.49206202037533,130.84403259161527,132.49206202037533,83123,Capital Goods
2022-01-11,131.2935028076172,133.84047002411108,130.64428274330172,131.84285106852735,86171,Capital Goods
2022-01-12,131.79290771484375,133.44095249967916,130.9439288020102,131.49326182299885,105640,Capital Goods
2022-01-13,130.5443878173828,132.8416525257266,129.79528075426782,131.84284310823992,106069,Capital Goods
2022-01-14,139.23403930664062,140.28279233807262,130.24475373543538,130.6442866829742,545389,Capital Goods
2022-01-17,136.33749389648438,140.98195187802744,135.8380891569368,139.43380937792853,195413,Capital Goods
2022-01-18,133.0913543701172,137.3362943781697,132.4421343474874,136.53724379911773,89108,Capital Goods
2022-01-19,131.64309692382812,133.341070048607,130.34464150818886,133.341070048607,63563,Capital Goods
2022-01-20,131.94273376464844,132.84165616878968,130.89398079940187,132.14249260549954,30486,Capital Goods
2022-01-21,131.49325561523438,134.38981211215855,130.3446308647822,131.94273205209365,108563,Capital Goods
2022-01-24,123.45285034179688,131.29350324449018,120.45642189845076,130.8939855482933,166542,Capital Goods
2022-01-25,124.25189971923828,125.35058861330052,118.85832705165548,122.85356493574474,59500,Capital Goods
2022-01-27,121.45523071289062,124.55153856329012,120.50636475916404,124.55153856329012,85074,Capital Goods
2022-01-28,123.40290832519533,124.85117895292476,121.85475065805456,121.85475065805456,56523,Capital Goods
2022-01-31,121.75487518310548,125.65023361668597,120.70612219780293,125.45046715170328,111445,Capital Goods
2022-02-01,121.10564422607422,123.6026678183644,119.95701184955848,122.1044536629903,81986,Capital Goods
2022-02-02,122.05451202392578,124.75130211734448,120.8559437292806,122.8535626338968,108925,Capital Goods
2022-02-03,119.35772705078124,120.8559411978622,118.75844291601112,120.8559411978622,144271,Capital Goods
2022-02-04,118.05927276611328,120.75606282644252,116.76082506623143,120.30659400623202,74609,Capital Goods
2022-02-07,116.61100769042967,119.20791083441976,115.81195705213506,119.20791083441976,52183,Capital Goods
2022-02-08,114.21385955810548,118.708502101785,113.8642777732149,118.708502101785,95437,Capital Goods
2022-02-09,112.8155288696289,115.51231906534788,112.06642175198114,114.01410483005232,93573,Capital Goods
2022-02-10,107.32207489013672,113.41481877534262,106.87261367514158,112.81552699493372,228363,Capital Goods
2022-02-11,107.07237243652344,110.21862379992008,106.27332943046672,107.07237243652344,138274,Capital Goods
2022-02-14,101.4291000366211,106.87260834829286,100.28046767517068,106.87260834829286,99345,Capital Goods
2022-02-15,104.12588500976562,119.6573749826082,102.37796847482952,103.8761826476319,537078,Capital Goods
2022-02-16,102.37796783447266,106.92255384500548,100.0807030690868,104.8749914401915,160843,Capital Goods
2022-02-17,103.82624053955078,105.02481646628512,102.37796986759716,104.37558879184296,86936,Capital Goods
2022-02-18,102.12826538085938,104.37558662395897,101.87856302051496,104.37558662395897,50372,Capital Goods
2022-02-21,93.23886108398438,103.2269556322486,91.39106511661775,102.4778485411288,238244,Capital Goods
2022-02-22,89.89285278320312,93.23886300162673,88.24481562478209,93.23886300162673,174225,Capital Goods
2022-02-23,91.34112548828124,95.68595289818144,90.54208246255548,91.24124606260447,196353,Capital Goods
