Date,Close,High,Low,Open,Volume,Sector
2022-01-10,129.31979370117188,132.45957318227366,128.9273119087532,129.46696501604794,5192602,Metals & Mining
2022-01-11,127.74991607666016,130.49722915853872,126.71967179949922,129.46698488137778,3427948,Metals & Mining
2022-01-12,131.38026428222656,132.41050838024896,127.35742705079764,128.73107586706132,4845617,Metals & Mining
2022-01-13,133.53887939453125,137.8560743095146,131.968982168183,132.45957317996064,14228398,Metals & Mining
2022-01-14,134.07850646972656,134.9125171096089,132.16520467595632,133.4407441956859,5639448,Metals & Mining
2022-01-17,134.96160888671875,138.93539962270063,134.17666016564246,134.42195570525058,6405711,Metals & Mining
2022-01-18,128.5839080810547,136.58053564032926,128.04425496999298,135.4031201981535,5754710,Metals & Mining
2022-01-19,127.16120147705078,129.27073692589104,124.2176477993648,128.044259345949,4885838,Metals & Mining
2022-01-20,131.38026428222656,132.06710366200764,127.65178464618248,127.84801805255596,6368032,Metals & Mining
2022-01-21,128.7801513671875,133.14640874302103,126.08190057663693,131.2331066313244,5155619,Metals & Mining
2022-01-24,118.3796157836914,128.14238166889496,116.07383946425188,127.161199619276,8542100,Metals & Mining
2022-01-25,122.3043441772461,123.67800054606865,114.60206657261696,118.52679477735282,5118615,Metals & Mining
2022-01-27,119.70421600341795,120.97975572565338,117.74185180664062,120.68539810180664,3537193,Metals & Mining
2022-01-28,121.4703369140625,125.73846971258202,120.93068380942684,121.07786260940246,5312619,Metals & Mining
2022-01-31,121.2250518798828,124.36483161670417,120.34198648958136,122.94212056098128,3879396,Metals & Mining
2022-02-01,124.31575775146484,125.29693976208674,120.19479630118272,122.15716032242652,5490758,Metals & Mining
2022-02-02,125.24788665771484,127.84802051426448,124.51200014090784,125.00259115211252,4807368,Metals & Mining
2022-02-03,126.91590881347656,127.946138026462,125.05165386707576,125.93472672747104,5622216,Metals & Mining
2022-02-04,135.1087646484375,135.89371327903626,127.06307487101223,127.55366589368025,17477979,Metals & Mining
2022-02-07,138.78819274902344,140.30902786355264,132.85203857585094,135.01065098184048,16060563,Metals & Mining
2022-02-08,134.52005004882812,140.99584187398733,131.6255513466554,139.52406896304458,9982439,Metals & Mining
2022-02-09,136.72772216796875,138.9844288645809,134.81440522796763,135.599353848013,5956235,Metals & Mining
2022-02-10,139.57313537597656,143.5959874457714,137.85606692671146,137.85606692671146,16068827,Metals & Mining
2022-02-11,136.23712158203125,140.84867381484483,134.91251994302212,138.34665681429905,6485085,Metals & Mining
2022-02-14,123.62894439697266,132.2633498571231,122.84399572393158,131.331229857984,9869852,Metals & Mining
2022-02-15,129.17262268066406,130.00663348792636,119.99857865903512,124.26671946883212,8877023,Metals & Mining
2022-02-16,127.0140151977539,130.88968135644612,126.08189523123048,129.51603245542742,5023452,Metals & Mining
2022-02-17,123.13834381103516,128.09331601847842,122.40245729423611,127.5046008163794,4813784,Metals & Mining
2022-02-18,120.83257293701172,125.39507104152784,120.4891607110428,123.62894032822317,4523988,Metals & Mining
2022-02-21,115.04359436035156,120.8325699020886,112.54157716031672,120.8325699020886,10144352,Metals & Mining
2022-02-22,112.88500213623048,113.7190054132559,108.91121168840452,110.18675139620242,8328136,Metals & Mining
2022-02-23,113.8171157836914,117.4474863100482,113.37558686334324,115.8285419448883,6392957,Metals & Mining
2022-02-24,103.66188049316406,111.70756995285402,103.02411069171708,109.79426803433768,10395146,Metals & Mining
2022-02-25,111.41322326660156,112.4925220098549,107.24319961043992,108.91120607857462,7708188,Metals & Mining
2022-02-28,115.43607330322266,115.9266643436224,109.74521424025563,111.41322826910988,7200101,Metals & Mining
2022-03-02,117.64373016357422,121.02880526681813,115.09265831184294,115.28889172896648,10091114,Metals & Mining
2022-03-03,121.27410125732422,124.36482624701868,120.24386458464276,121.6665755789374,12216686,Metals & Mining
2022-03-04,118.7230224609375,123.87422798093684,118.37961025676913,122.1571594742704,7931946,Metals & Mining
2022-03-07,122.3533935546875,123.57987106620531,116.76065909649613,118.2324321103175,7984133,Metals & Mining
2022-03-08,124.31575775146484,131.42932732847362,123.08928023818748,124.61011534898128,18998589,Metals & Mining
2022-03-09,121.71563720703124,126.57248539652124,121.17598408116568,126.27812778499002,6779091,Metals & Mining
2022-03-10,120.44009399414062,123.04022786673916,118.8211421500076,123.04022786673916,7178388,Metals & Mining
2022-03-11,121.37222290039062,123.62894472703977,120.19480737351088,120.93069394926704,4842464,Metals & Mining
2022-03-14,117.25125122070312,122.45151891352444,116.85877691610489,121.17597929503629,5344277,Metals & Mining
2022-03-15,112.00192260742188,117.88901438719886,110.03955868082954,117.25124461389149,7040176,Metals & Mining
2022-03-16,113.08123016357422,114.5039411279183,112.19816482999089,114.16052891092058,4731502,Metals & Mining
2022-03-17,115.28888702392578,116.76066004976312,113.915230702646,115.19077031936824,6012485,Metals & Mining
2022-03-21,114.7982940673828,118.7230220696865,114.30770306709483,117.15313236592992,5346677,Metals & Mining
2022-03-22,115.97571563720705,117.74184632643352,114.30770914191254,115.48512461084688,4837292,Metals & Mining
2022-03-23,115.73041534423828,117.398429256467,114.50393782899276,117.398429256467,3992771,Metals & Mining
2022-03-24,115.09265899658205,117.69278547515104,114.35677244925306,115.77948344642571,4498389,Metals & Mining
2022-03-25,113.37559509277344,116.71160825716125,112.8850040408546,115.73042615332356,3687383,Metals & Mining
2022-03-28,111.41322326660156,113.8171162622942,110.97168685857189,113.32652524392223,4609341,Metals & Mining
2022-03-29,110.33391571044922,112.59063736214678,109.89238679355502,112.14910844525258,4859549,Metals & Mining
2022-03-30,109.30368041992188,111.41322329665532,108.7640273052372,111.16792778740316,5885810,Metals & Mining
2022-03-31,111.60945892333984,112.49252427132689,109.79427361603732,110.38298135275367,6142918,Metals & Mining
2022-04-01,114.50394439697266,114.7983020118459,111.65852238704854,111.85475580641396,5077804,Metals & Mining
2022-04-04,117.10407257080078,117.59466358072105,114.06240980646012,115.63229954104,6255133,Metals & Mining
2022-04-05,120.34197235107422,121.17597554388747,117.74183858515384,118.57584177796711,7328584,Metals & Mining
2022-04-06,122.50057983398438,123.43270729115498,119.11550468980847,119.55703362658792,8046494,Metals & Mining
2022-04-07,119.26268005371094,123.481758337661,118.42866933037004,122.54963839322986,4264063,Metals & Mining
2022-04-08,120.29291534423828,121.47033827137496,119.50797421197196,120.34197744005328,3761228,Metals & Mining
2022-04-11,122.10810089111328,123.43270262300616,120.58727323297028,121.02880215305134,4261393,Metals & Mining
2022-04-12,118.7230224609375,121.6175063778454,116.36818415463,121.6175063778454,5631054,Metals & Mining
2022-04-13,118.91925811767578,121.07786305839846,118.62490800245774,119.7042067299067,2750802,Metals & Mining
2022-04-18,118.87020874023438,119.7042119987987,116.80972789971516,119.7042119987987,2214700,Metals & Mining
2022-04-19,121.81375122070312,127.06307361416182,118.82114301769988,119.94950385584002,18701538,Metals & Mining
2022-04-20,119.01738739013672,123.6289400978701,118.28150084193511,123.1383490657357,6056375,Metals & Mining
2022-04-21,119.50798034667967,120.53821703925657,118.87021049747008,120.09668809755578,2945809,Metals & Mining
2022-04-22,114.7982940673828,118.7230220696865,114.40581976998752,118.7230220696865,5770643,Metals & Mining
2022-04-25,111.70758056640624,112.98312029049173,111.31510622931648,112.83594147835488,4194526,Metals & Mining
2022-04-26,112.59063720703124,114.20958904312084,112.1000461952359,112.83593271292892,3229386,Metals & Mining
2022-04-27,112.00192260742188,112.83592577905875,110.1376753799943,111.8547438157626,2762785,Metals & Mining
2022-04-28,111.90381622314452,113.32652720673458,109.49991569999152,113.32652720673458,4431556,Metals & Mining
2022-04-29,111.16793060302734,113.27746604736552,110.77545628111848,113.27746604736552,1832831,Metals & Mining
2022-05-02,110.6773452758789,110.87357870403376,108.02814908083592,109.79427987753124,2262626,Metals & Mining
2022-05-04,107.78285217285156,111.80569728512728,107.2432065094218,110.38298623465518,3034707,Metals & Mining
2022-05-05,108.02813720703124,110.2848588118938,107.3903674068897,109.84332241833827,1728445,Metals & Mining
2022-05-06,102.6316375732422,106.60542773999224,99.98244911929196,104.9864759133228,6237384,Metals & Mining
2022-05-09,92.62358856201172,100.8655194166419,89.77815907238849,100.8655194166419,15765612,Metals & Mining
2022-05-10,91.83863830566406,95.95960740369624,91.44616398882886,93.21229467167478,7114541,Metals & Mining
2022-05-11,93.06510925292967,93.702879036732,89.6800344181838,92.96699255215036,6121617,Metals & Mining
2022-05-12,90.36685943603516,92.47640220362764,89.58191833853353,91.7405157139436,4256098,Metals & Mining
2022-05-13,90.41593170166016,93.89912365320303,89.63098303002567,92.2311170832614,4512467,Metals & Mining
2022-05-16,89.5819320678711,90.95558107048066,87.03085252399475,90.07252313618184,6269897,Metals & Mining
2022-05-17,98.51068115234376,101.25798645202896,91.1518156402537,91.1518156402537,10475451,Metals & Mining
2022-05-18,98.8050308227539,100.32586601585732,96.89172879282064,99.78621288647868,4959565,Metals & Mining
2022-05-19,94.97842407226562,96.842663951871,93.8500632337822,94.1934754491924,3430792,Metals & Mining
2022-05-20,99.88433074951172,102.82787675408484,98.118200152438,98.118200152438,11012735,Metals & Mining
2022-05-23,94.63500213623048,98.11820127585312,93.99723981659716,98.11820127585312,6453033,Metals & Mining
2022-05-24,95.51807403564452,96.49925611610485,94.48783734265636,94.78218747529932,3565444,Metals & Mining
2022-05-25,93.11417388916016,96.49924881635174,92.6235828860411,96.49924881635174,3082510,Metals & Mining
2022-05-26,94.48783111572266,95.0765388280368,89.33662553278069,94.24253561177304,5404173,Metals & Mining
2022-05-27,96.10678100585938,97.43138279237814,94.8803034152495,97.13702517630172,3991318,Metals & Mining
2022-05-30,100.96363830566406,101.79764158291324,96.45020220011682,97.13702666706902,5089815,Metals & Mining
2022-05-31,103.12223052978516,105.0845946026101,99.5409145997147,100.03150561792091,9463386,Metals & Mining
2022-06-01,101.8467025756836,104.69212461000926,101.11081601801486,104.39777447843686,3249757,Metals & Mining
2022-06-02,104.49588775634766,104.83929997481384,101.55234162236604,101.55234162236604,3022430,Metals & Mining
2022-06-03,104.93741607666016,106.89978015465904,103.76000062419078,106.850725544204,3841624,Metals & Mining
2022-06-06,104.2505874633789,104.59399966609335,101.79763246424058,104.49588296329274,2856422,Metals & Mining
2022-06-07,102.04293060302734,104.05435674866692,101.1108106735796,103.56376573615238,1953349,Metals & Mining
2022-06-08,102.38634490966795,104.39777109646568,101.3561082538014,103.90718007391256,3730282,Metals & Mining
2022-06-09,101.06175231933594,102.82788302410096,99.68809593627704,100.8655189013954,2023383,Metals & Mining
2022-06-10,99.88433074951172,100.52209306184288,98.26537894983156,100.32585965586784,2116091,Metals & Mining
2022-06-13,95.07654571533205,98.11820868747884,94.38971376302452,98.11820868747884,2653772,Metals & Mining
2022-06-14,94.48783111572266,97.9710227803124,93.6047658043391,94.19347351665324,2679119,Metals & Mining
2022-06-15,95.4690170288086,96.49925369595904,93.99724394502938,95.41995493168596,2157814,Metals & Mining
2022-06-16,90.36685943603516,96.89172114173186,89.48379415124941,96.30301344714952,2925267,Metals & Mining
2022-06-17,91.3480453491211,92.57452288465124,87.32520052974714,89.82721769655858,3403444,Metals & Mining
2022-06-20,82.76271057128906,91.05370400147362,79.67198538692027,90.85746308539396,10192601,Metals & Mining
2022-06-21,88.94416046142578,89.33663480564773,83.54765881439397,84.77413646144666,5244529,Metals & Mining
2022-06-22,82.41929626464844,87.07991123199463,81.14375654241303,86.54025808355073,12406905,Metals & Mining
2022-06-23,83.84200286865234,85.60813354646234,81.53622655682952,82.46835399238338,6622115,Metals & Mining
2022-06-24,83.64576721191406,85.65719334741021,82.615523096499,83.10611410653955,6666366,Metals & Mining
2022-06-27,85.6081314086914,86.98178773648293,84.97036159730698,86.3440179250985,4503170,Metals & Mining
2022-06-28,88.50260925292969,88.99320022991006,84.62694352911443,85.362829994585,4572546,Metals & Mining
2022-06-29,87.52143859863281,88.79697829779307,86.34402309619658,87.472383986096,2855088,Metals & Mining
2022-06-30,85.46095275878906,89.04226864211053,84.82318294628116,88.50261553479812,5048882,Metals & Mining
2022-07-01,86.68743896484375,87.07991331073328,84.03825023028404,84.47977919076882,2962596,Metals & Mining
2022-07-04,85.6572036743164,86.34402817684743,83.49859847839983,85.8534371076608,2968114,Metals & Mining
2022-07-05,85.21566009521484,87.42331972196042,84.52883565011288,86.44213766562906,2375230,Metals & Mining
2022-07-06,86.39308166503906,87.07990609909635,81.73246697241137,84.38165548757505,4453860,Metals & Mining
2022-07-07,89.5328598022461,90.7593373337837,85.46095290037624,87.3742623410698,5938255,Metals & Mining
2022-07-08,88.45356750488281,91.24993498300334,87.42332330913167,90.75934393470762,6598833,Metals & Mining
2022-07-11,89.72909545898438,90.66122289778004,86.6383779908052,88.20826777330454,4048079,Metals & Mining
2022-07-12,88.3554458618164,89.68004012113234,87.42331843057563,88.11015035135698,4379709,Metals & Mining
2022-07-13,89.38568115234375,89.68003875474011,87.32520039304363,87.52143380409134,3640651,Metals & Mining
2022-07-14,87.61956024169922,90.02345327487264,86.83461160573546,89.4347455408123,3246315,Metals & Mining
2022-07-15,86.0006103515625,88.11015330950282,84.97036617871427,87.71767898242611,3244822,Metals & Mining
2022-07-18,90.71027374267578,91.24992684198511,86.73649109750349,87.17802000724774,5498911,Metals & Mining
2022-07-19,91.39710235595705,91.7405145496196,89.48379301556659,89.53285510858598,4231449,Metals & Mining
2022-07-20,92.52546691894533,94.19347334849505,92.2311093204014,92.2801714154336,5063448,Metals & Mining
2022-07-21,93.21229553222656,93.65382446410185,92.2311134739926,92.72170450310958,2266998,Metals & Mining
2022-07-22,93.94818115234376,95.17465871307932,93.26135671266182,93.70288564019664,3064980,Metals & Mining
2022-07-25,93.1632308959961,94.63500394323664,92.81981868213826,94.1934750233944,3614462,Metals & Mining
2022-07-26,96.79360961914062,97.23513854224493,92.72170266119308,93.60476799322656,6826196,Metals & Mining
2022-07-27,97.38232421875,98.36350632674748,95.91055105675376,96.89173316475126,3882752,Metals & Mining
2022-07-28,97.87290954589844,99.1975038170238,96.352074373161,98.4125626680504,4498422,Metals & Mining
2022-07-29,101.11080932617188,101.55233823722122,98.11820119538282,98.60879220135972,3924851,Metals & Mining
2022-08-01,102.87693786621094,103.76000322057232,101.25798596418592,101.60140567508904,3321288,Metals & Mining
2022-08-02,102.68070220947266,103.02411442706456,100.080568300577,102.5335234059833,2723475,Metals & Mining
2022-08-03,102.6316375732422,103.61281959112372,100.37492342360952,102.3863420687718,2558158,Metals & Mining
2022-08-04,102.19011688232422,104.05436436347202,100.47304821286644,103.02412016746722,2816296,Metals & Mining
2022-08-05,102.19011688232422,103.7109446409202,101.84670464559773,102.72976254408718,2098867,Metals & Mining
2022-08-08,108.96027374267578,110.48110148584912,101.60140809105404,102.6807068894602,13647552,Metals & Mining
2022-08-10,110.6773452758789,111.26605304616886,109.10744790733844,110.18675421966635,5558821,Metals & Mining
2022-08-11,109.79426574707033,112.24722071243907,109.30367475399656,112.24722071243907,3234510,Metals & Mining
2022-08-12,110.72639465332033,112.44346326885731,108.91120932834625,109.598033780231,3901600,Metals & Mining
2022-08-16,111.80569458007812,112.49252652486052,107.58661614423708,110.726395793506,3805826,Metals & Mining
2022-08-17,113.13028717041016,115.5832421612185,112.10004307994085,112.73781287471591,6226691,Metals & Mining
2022-08-18,113.42464447021484,114.4058265287562,112.34534570298436,113.13029434414746,2762967,Metals & Mining
2022-08-19,110.8245086669922,113.76805479345492,110.18674632825184,113.42464257586592,3222070,Metals & Mining
2022-08-22,108.71497344970705,110.38297992987292,108.2734370384926,110.38297992987292,2429109,Metals & Mining
2022-08-23,112.24723052978516,112.59064275780732,106.8507291339861,107.88096581805266,3556002,Metals & Mining
2022-08-24,114.70018005371094,115.58324537209822,112.10004619405798,112.73781600655018,5118962,Metals & Mining
2022-08-25,112.59063720703124,115.33794986741508,112.24722499593946,114.94547556081385,3282484,Metals & Mining
2022-08-26,115.68136596679688,117.15313905165225,113.52276095084731,113.7190018536564,4781736,Metals & Mining
2022-08-29,116.61348724365234,119.40985463930456,109.94145367509223,111.85475571268978,7985746,Metals & Mining
2022-08-30,116.51536560058594,118.67396306369844,115.77947908100327,117.49654762669611,3190110,Metals & Mining
2022-09-01,114.84735870361328,117.05501825377038,113.81711458587674,116.4172484421156,2450533,Metals & Mining
