Date,Close,High,Low,Open,Volume,Sector
2022-01-10,43282.2421875,44021.21068737643,42745.438675545054,42969.22454942949,4897,Capital Goods
2022-01-11,43266.984375,43487.09041388433,43028.44430009244,43280.89626910556,2900,Capital Goods
2022-01-12,43362.828125,43693.28608320674,43189.57768100483,43325.614583302566,11700,Capital Goods
2022-01-13,43828.625,43921.8354633574,43143.86405257924,43375.29678677716,7746,Capital Goods
2022-01-14,44275.796875,44567.74870079369,43574.736747722185,43723.09794503728,3932,Capital Goods
2022-01-17,45728.83984375,45958.93339907916,44021.25585797391,44219.946729924806,9944,Capital Goods
2022-01-18,44732.15234375,46105.70339456111,44684.10895503852,45740.3182266852,4863,Capital Goods
2022-01-19,45241.625,45588.92548289151,44027.16793988884,44518.05903730916,4025,Capital Goods
2022-01-20,44913.60546875,45268.95265235077,44708.952352129934,45025.84386313327,3172,Capital Goods
2022-01-21,43587.703125,44815.17935047448,42060.17793185402,44815.17935047448,5725,Capital Goods
2022-01-24,41948.98046875,43586.95851808327,41729.72063033511,43586.95851808327,2780,Capital Goods
2022-01-25,42592.3046875,42957.14252961231,40620.59273846118,41947.33861311065,3622,Capital Goods
2022-01-27,42015.66015625,42729.39002569075,40355.67303908915,41536.94193195055,12228,Capital Goods
2022-01-28,41637.609375,42940.25812463852,41436.38373901186,42629.029917310334,2260,Capital Goods
2022-01-31,42541.03515625,43110.87555317074,40388.56915255193,42431.230553155416,6628,Capital Goods
2022-02-01,44031.39453125,44914.50094388353,42133.16621154248,42828.660013391214,16128,Capital Goods
2022-02-02,45796.0703125,45909.25195892675,44031.39462365874,44031.39462365874,7632,Capital Goods
2022-02-03,45626.39453125,45958.93694068484,45463.07727509778,45720.44732196561,2742,Capital Goods
2022-02-04,44396.68359375,45626.39572237393,44164.303712777146,45626.39572237393,5134,Capital Goods
2022-02-07,44709.00390625,44915.29899086125,43723.2001793804,44495.209440622886,3088,Capital Goods
2022-02-08,44212.9921875,45183.29631803928,43837.173090025964,44716.80148422224,3877,Capital Goods
2022-02-09,44053.8046875,44500.572926532,43921.98715420819,44071.88937455223,1274,Capital Goods
2022-02-10,44589.41015625,44816.421681024265,43641.11505316231,44405.97034232489,2943,Capital Goods
2022-02-11,43237.37109375,44763.95304357936,43017.365978431575,44320.31345441147,3750,Capital Goods
2022-02-14,40904.25,41934.27751210997,40642.606235359264,41725.74659713289,18603,Capital Goods
2022-02-15,41300.08984375,41653.75239865516,40369.33598592528,40742.02647208072,6733,Capital Goods
2022-02-16,41515.67578125,41845.83482828477,40864.59605404398,41238.82754535114,5665,Capital Goods
2022-02-17,41805.2890625,42003.33557339824,39361.96238477064,41525.95657161861,3548,Capital Goods
2022-02-18,40310.109375,41765.49380234964,39899.51053108283,41616.43779306217,5843,Capital Goods
2022-02-21,40386.828125,40676.09383532811,39559.56724303213,40189.47640877904,5553,Capital Goods
