Date,Close,High,Low,Open,Volume,Sector
2022-01-10,3262.891845703125,3329.1605704670174,3254.144845045196,3310.9750131819,182100,Consumer Services
2022-01-11,3214.166259765625,3281.3000359554976,3204.7274613887257,3281.3000359554976,248956,Consumer Services
2022-01-12,3385.22509765625,3413.2695521348446,3216.093563818383,3241.7906851027337,623950,Consumer Services
2022-01-13,3329.13623046875,3409.192647782133,3316.411213519246,3394.985104586085,246142,Consumer Services
2022-01-14,3345.51806640625,3394.985073302774,3286.266482891331,3338.8715519067755,216760,Consumer Services
2022-01-17,3312.7294921875,3385.101577915735,3283.6226086308707,3341.762297691522,124770,Consumer Services
2022-01-18,3213.4990234375,3327.4310633001714,3188.0984566024804,3315.892260958976,183806,Consumer Services
2022-01-19,3168.65234375,3231.412613191087,3150.3678558025968,3231.412613191087,167256,Consumer Services
2022-01-20,3139.9658203125,3182.489516164357,3131.095275530647,3182.489516164357,132128,Consumer Services
2022-01-21,3024.50146484375,3155.309783719554,2997.692450628122,3128.1055257207568,333682,Consumer Services
2022-01-24,2884.971435546875,3051.508548960405,2826.6833493335043,3026.824390676174,365618,Consumer Services
2022-01-25,2473.34765625,2810.202239335905,2456.0515187937062,2708.0809502997004,1877324,Consumer Services
2022-01-27,2255.5400390625,2465.935212777976,2125.497832563795,2465.935212777976,2963612,Consumer Services
2022-01-28,2384.69287109375,2420.6935974332,2263.5704316547417,2276.048360570642,1348144,Consumer Services
2022-01-31,2465.29296875,2505.46933313549,2416.764846883455,2444.685757597884,914918,Consumer Services
2022-02-01,2556.171875,2586.958907740524,2448.6392532768964,2505.469427671819,748480,Consumer Services
2022-02-02,2605.910400390625,2659.6519745702067,2560.816895619252,2588.9848931202737,501252,Consumer Services
2022-02-03,2561.26171875,2605.910515904588,2527.707256218075,2605.910515904588,310604,Consumer Services
2022-02-04,2510.48486328125,2567.240950651697,2500.5272782093525,2552.3662243144995,235706,Consumer Services
2022-02-07,2489.33447265625,2540.036916409849,2465.935219458783,2518.8119866896627,269104,Consumer Services
2022-02-08,2472.161865234375,2532.6488849792468,2466.7505481712515,2497.5624321336804,245672,Consumer Services
2022-02-09,2532.574951171875,2595.730473372269,2486.962415096842,2494.795143768497,390350,Consumer Services
2022-02-10,2539.5673828125,2594.371386460929,2488.3707630685803,2535.1198042086253,219740,Consumer Services
2022-02-11,2493.60888671875,2520.244890578768,2467.368126631303,2500.551954064254,292606,Consumer Services
2022-02-14,2482.589111328125,2519.158091779964,2374.512852311961,2374.512852311961,315616,Consumer Services
2022-02-15,2553.354736328125,2584.537251232327,2463.2666605906065,2509.4225930703165,342080,Consumer Services
2022-02-16,2537.541259765625,2593.82779059919,2527.484741931767,2579.5956353366564,136658,Consumer Services
2022-02-17,2475.00341796875,2578.6072425337334,2469.9627323596906,2552.415946279558,177122,Consumer Services
2022-02-18,2389.362548828125,2495.5856421342287,2377.0576302579057,2452.493452943501,472288,Consumer Services
2022-02-21,2350.644287109375,2460.425307014905,2292.973919805964,2372.04198600617,537432,Consumer Services
2022-02-22,2367.42138671875,2393.785693180207,2250.968999264212,2312.740925698466,302966,Consumer Services
2022-02-23,2382.963134765625,2460.005027815353,2367.618844524913,2405.497580226301,309504,Consumer Services
2022-02-24,2369.37353515625,2446.1683477536835,2275.677826546608,2322.599879553976,398032,Consumer Services
2022-02-25,2404.3115234375,2431.0959271523247,2354.251650971374,2408.339246062388,462516,Consumer Services
2022-02-28,2359.218017578125,2396.256561044645,2342.440907200897,2394.7740348159105,246598,Consumer Services
2022-03-02,2343.157470703125,2411.5761571727003,2315.780199473231,2346.8391742649906,245632,Consumer Services
2022-03-03,2247.040283203125,2386.8673170640564,2224.3576793189163,2379.405219842487,293302,Consumer Services
2022-03-04,2177.583984375,2237.749841653488,2164.488335768184,2222.257394004596,308282,Consumer Services
2022-03-07,1993.40478515625,2134.837762812949,1980.6055696985577,2134.837762812949,552654,Consumer Services
2022-03-08,2017.100341796875,2070.1006508941286,1956.934489744748,2016.2355348885285,535220,Consumer Services
2022-03-09,2118.258544921875,2132.367158105176,2028.0961336879816,2054.97923106039,538182,Consumer Services
2022-03-10,2224.1845703125,2234.1670100301185,2174.396398169051,2203.454056813352,433348,Consumer Services
2022-03-11,2212.620849609375,2267.622715460441,2199.080492141795,2223.789261716422,300698,Consumer Services
2022-03-14,2181.06787109375,2248.424126935493,2174.3718905403834,2212.4233986248405,238634,Consumer Services
2022-03-15,2150.577392578125,2248.4982057402176,2142.6211198984943,2196.1650759802205,259560,Consumer Services
2022-03-16,2206.29541015625,2235.4517570522585,2157.594282554553,2181.48771000746,247836,Consumer Services
2022-03-17,2221.12060546875,2280.619270128945,2206.542432452758,2248.522484207314,282606,Consumer Services
2022-03-21,2189.69091796875,2265.3243567683685,2177.8553221304837,2248.497783064277,192942,Consumer Services
2022-03-22,2216.37646484375,2228.7308487057558,2149.662791988921,2194.0891080973806,193090,Consumer Services
2022-03-23,2217.735595703125,2265.794152147252,2199.0804748212145,2224.777594976429,198418,Consumer Services
2022-03-24,2227.742919921875,2244.544885156424,2202.070408875739,2206.493375654652,119886,Consumer Services
2022-03-25,2200.760986328125,2294.432091295175,2189.296260220383,2246.027507567241,294360,Consumer Services
2022-03-28,2161.251708984375,2224.703788230936,2140.8669717599387,2218.798295110306,165484,Consumer Services
2022-03-29,2126.14013671875,2178.0780181505256,2117.5415332444704,2152.1338103336448,225956,Consumer Services
2022-03-30,2182.451416015625,2198.8332810650672,2134.8375714577123,2139.2356839358936,246168,Consumer Services
2022-03-31,2136.147216796875,2218.822904920664,2129.895946327411,2194.1882132914125,194166,Consumer Services
2022-04-01,2199.6982421875,2223.2951174617383,2140.397194377896,2153.023279288725,215678,Consumer Services
2022-04-04,2382.8642578125,2416.517650032389,2213.9057407249697,2223.295073107509,663066,Consumer Services
2022-04-05,2505.14794921875,2540.061390697329,2417.7775994067074,2450.6156491182983,1375060,Consumer Services
2022-04-06,2469.1474609375,2567.5624465710475,2455.5822492777183,2505.3704223367504,636686,Consumer Services
2022-04-07,2397.788330078125,2488.5930531432323,2385.9775871469287,2465.9350644619594,337128,Consumer Services
2022-04-08,2433.566650390625,2452.9876462388056,2404.262146976638,2417.530562846476,199112,Consumer Services
2022-04-11,2503.566650390625,2593.4324949942047,2439.916955492479,2455.458627019326,983548,Consumer Services
2022-04-12,2475.547119140625,2512.8819750736743,2423.930400734783,2512.8819750736743,328068,Consumer Services
2022-04-13,2419.630859375,2522.7158937257336,2399.320443934997,2499.0449408643444,232682,Consumer Services
2022-04-18,2399.78955078125,2421.4591878955034,2347.332886225233,2396.700954878322,171792,Consumer Services
2022-04-19,2345.381103515625,2458.5226599320363,2297.9402642485948,2421.434892002852,211106,Consumer Services
2022-04-20,2328.6533203125,2420.965184704846,2314.7174780888954,2362.1088487340908,167680,Consumer Services
2022-04-21,2369.29931640625,2428.8720636877315,2347.654289351696,2354.4245887741977,336006,Consumer Services
