Date,Close,High,Low,Open,Volume,Sector
2022-01-10,31.962499618530277,32.375,29.649999618530277,29.662500381469727,6864352,Capital Goods
2022-01-11,32.9375,33.5,31.662500381469727,32.23749923706055,6104272,Capital Goods
2022-01-12,31.112499237060547,33.3125,30.787500381469727,33.20000076293945,4150100,Capital Goods
2022-01-13,31.649999618530277,31.75,31.0,31.5,1499848,Capital Goods
2022-01-14,32.20000076293945,32.82500076293945,31.075000762939453,31.612499237060547,1884992,Capital Goods
2022-01-17,31.612499237060547,32.787498474121094,31.5,32.25,3611852,Capital Goods
2022-01-18,31.087499618530277,32.75,30.774999618530277,31.524999618530277,4115788,Capital Goods
2022-01-19,31.649999618530277,32.099998474121094,30.612499237060547,31.037500381469727,2649600,Capital Goods
2022-01-20,33.025001525878906,33.5,31.737499237060547,31.787500381469727,5017464,Capital Goods
2022-01-21,32.11249923706055,33.75,31.387500762939453,32.900001525878906,4788272,Capital Goods
2022-01-24,29.1875,31.875,28.25,31.25,3838372,Capital Goods
2022-01-25,30.112499237060547,30.5625,28.287500381469727,28.975000381469727,1938916,Capital Goods
2022-01-27,29.9375,30.262500762939453,29.262500762939453,29.325000762939453,1514428,Capital Goods
2022-01-28,30.299999237060547,31.1875,29.850000381469727,29.850000381469727,1510768,Capital Goods
2022-01-31,30.9375,31.450000762939453,30.450000762939453,31.25,1751036,Capital Goods
2022-02-01,31.637500762939453,32.11249923706055,31.0,31.25,1857620,Capital Goods
2022-02-02,32.162498474121094,32.5,31.737499237060547,31.899999618530277,2598736,Capital Goods
2022-02-03,31.774999618530277,32.599998474121094,31.5,32.5,1274048,Capital Goods
2022-02-04,32.20000076293945,32.599998474121094,31.537500381469727,31.774999618530277,2960188,Capital Goods
2022-02-07,33.88750076293945,34.375,32.287498474121094,32.287498474121094,7683200,Capital Goods
2022-02-08,32.51250076293945,34.849998474121094,32.212501525878906,34.474998474121094,5496308,Capital Goods
2022-02-09,33.4375,33.712501525878906,32.25,32.650001525878906,1642260,Capital Goods
2022-02-10,33.6875,33.73749923706055,32.525001525878906,33.0,2771864,Capital Goods
2022-02-11,32.07500076293945,33.45000076293945,31.637500762939453,33.45000076293945,2768524,Capital Goods
2022-02-14,29.387500762939453,31.612499237060547,28.774999618530277,31.5,2935988,Capital Goods
2022-02-15,31.475000381469727,32.087501525878906,29.375,29.387500762939453,3703000,Capital Goods
2022-02-16,30.5625,31.9375,30.274999618530277,31.625,1081200,Capital Goods
2022-02-17,30.087499618530277,31.100000381469727,29.825000762939453,30.75,814020,Capital Goods
2022-02-18,29.9375,30.487499237060547,29.75,30.487499237060547,584544,Capital Goods
2022-02-21,29.537500381469727,30.100000381469727,28.799999237060547,30.0,1277824,Capital Goods
2022-02-22,28.524999618530277,29.924999237060547,28.0,28.387500762939453,2188740,Capital Goods
2022-02-23,28.287500381469727,29.662500381469727,28.0,28.987499237060547,1150264,Capital Goods
2022-02-24,25.462499618530277,27.987499237060547,24.600000381469727,27.475000381469727,4279908,Capital Goods
2022-02-25,27.862499237060547,28.399999618530277,26.774999618530277,26.774999618530277,2586876,Capital Goods
2022-02-28,27.799999237060547,28.200000762939453,26.837499618530277,27.25,2160292,Capital Goods
2022-03-02,27.450000762939453,28.25,26.600000381469727,27.649999618530277,1198452,Capital Goods
2022-03-03,27.049999237060547,28.487499237060547,26.712499618530277,27.625,1195972,Capital Goods
2022-03-04,27.100000381469727,28.25,26.524999618530277,26.75,1160856,Capital Goods
2022-03-07,26.137500762939453,27.0,25.799999237060547,26.75,1484244,Capital Goods
2022-03-08,25.424999237060547,27.100000381469727,25.024999618530277,26.0,1745284,Capital Goods
2022-03-09,26.825000762939453,27.799999237060547,25.75,25.912500381469727,2916140,Capital Goods
2022-03-10,27.3125,28.237499237060547,26.862499237060547,27.200000762939453,2572456,Capital Goods
2022-03-11,26.762500762939453,27.412500381469727,26.625,27.375,1884708,Capital Goods
2022-03-14,25.850000381469727,27.125,25.475000381469727,26.325000762939453,2793208,Capital Goods
2022-03-15,26.962499618530277,27.387500762939453,26.0,26.0,2546768,Capital Goods
2022-03-16,27.274999618530277,27.462499618530277,26.375,27.149999618530277,1253752,Capital Goods
2022-03-17,27.325000762939453,28.0,27.012500762939453,27.450000762939453,1306436,Capital Goods
2022-03-21,27.462499618530277,28.0,27.125,27.450000762939453,1982580,Capital Goods
2022-03-22,27.799999237060547,27.912500381469727,27.0,27.387500762939453,1870836,Capital Goods
