Date,Close,High,Low,Open,Volume,Sector
2022-01-10,589.8283081054688,612.6660633256814,587.144386681103,610.9581133283577,198978,Construction Materials
2022-01-11,582.80126953125,593.2929607165738,580.7029074667616,590.4626201972955,125052,Construction Materials
2022-01-12,578.458251953125,586.2172363795991,574.4567335324484,582.8013365312138,108161,Construction Materials
2022-01-13,575.4815063476562,586.5587568806228,573.8711298599105,580.6053557214054,57760,Construction Materials
2022-01-14,580.2149658203125,589.2427007805109,572.114415553523,578.1654498189362,124712,Construction Materials
2022-01-17,592.46337890625,597.2944488622304,583.7772698845215,584.5092483757742,85037,Construction Materials
2022-01-18,594.0737915039062,598.8072288741347,590.9506711711219,595.3425423854408,184674,Construction Materials
2022-01-19,591.5850830078125,598.0752570225904,580.8981843531519,591.4386634716059,102398,Construction Materials
2022-01-20,589.29150390625,597.245694434459,584.070080881015,585.5828245975122,48148,Construction Materials
2022-01-21,575.4326171875,594.4640562984074,570.9431733272215,583.9235788583854,48154,Construction Materials
2022-01-24,578.5557861328125,593.0977826169398,562.5986788906342,570.943221756439,449687,Construction Materials
2022-01-25,553.71728515625,585.3387786427398,545.5679487474641,581.1909006782018,146800,Construction Materials
2022-01-27,555.5717163085938,568.9913229827145,545.66558282718,546.5439809096399,79586,Construction Materials
2022-01-28,549.8622436523438,566.0633430927468,547.2758959297548,564.111400530358,80774,Construction Materials
2022-01-31,549.6670532226562,560.2075314476808,546.5439331196886,560.2075314476808,247217,Construction Materials
2022-02-01,572.9439697265625,574.847125774844,551.0334009815335,552.2533651703596,236395,Construction Materials
2022-02-02,556.2061157226562,577.0918676048856,555.1325114588202,577.0918676048856,475634,Construction Materials
2022-02-03,545.1287841796875,562.3547022888218,541.9568773006192,548.1054848755618,310364,Construction Materials
2022-02-04,538.3457641601562,551.4238038669026,536.247461532597,548.4471032110682,196298,Construction Materials
2022-02-07,545.9584350585938,552.936594956178,536.0523013384309,541.6641369919511,218417,Construction Materials
2022-02-08,534.100341796875,551.2774143890465,532.8803775625286,549.4718911496402,180049,Construction Materials
2022-02-09,515.5568237304688,541.371275753354,512.5801232686425,536.881772167145,342543,Construction Materials
2022-02-10,520.2415161132812,525.7557780672474,515.8008583852666,523.2670630388932,125214,Construction Materials
2022-02-11,506.626708984375,516.7280482982397,501.7468521859566,516.1912759641266,262863,Construction Materials
2022-02-14,477.3963928222656,499.3069621367582,474.56608178748473,495.3542601916605,177593,Construction Materials
2022-02-15,469.00299072265625,490.86477141004207,460.316852212831,483.1057877536204,477450,Construction Materials
2022-02-16,461.9760437011719,483.00821434453104,458.7553203810279,475.834818977258,220240,Construction Materials
2022-02-17,449.4835815429688,468.46623571644113,447.97083790384687,468.46623571644113,221986,Construction Materials
2022-02-18,449.0931701660156,453.68024701024456,445.9212635651261,451.5819147542042,148066,Construction Materials
2022-02-21,438.6015319824219,451.1427701656241,435.2832352490392,443.4813888798327,223325,Construction Materials
2022-02-22,421.2292175292969,433.575248473255,418.7404728526358,429.4273704631,248675,Construction Materials
2022-02-23,435.0392150878906,439.1870931902429,425.0355090763351,426.6946722309884,134221,Construction Materials
2022-02-24,428.06103515625,435.0392242718417,412.5430968261242,414.7878189916606,212604,Construction Materials
2022-02-25,436.3567810058594,453.97305133243896,427.8170319974077,429.3297756223353,134637,Construction Materials
2022-02-28,438.0158996582031,446.9948473706263,418.2524811882136,418.2524811882136,106229,Construction Materials
2022-03-02,421.66839599609375,437.0399442534238,419.0332913082629,434.0144569952788,273565,Construction Materials
2022-03-03,408.248779296875,430.94011182292365,402.3441648973572,426.40185127456994,126068,Construction Materials
2022-03-04,402.1978149414063,404.1497577173565,393.56046220096977,404.1497577173565,266885,Construction Materials
2022-03-07,391.5109252929688,399.61150586919416,378.6769072041189,399.074703722948,180468,Construction Materials
2022-03-08,386.6798706054688,410.1031836004262,384.2887288235205,395.4147965392687,301571,Construction Materials
2022-03-09,393.7068176269531,402.05139013718815,387.0214082453348,390.2909180668556,257909,Construction Materials
2022-03-10,427.2314453125,431.18411724462567,402.1001838235294,402.1001838235294,698585,Construction Materials
2022-03-11,444.21331787109375,459.4384756498018,420.0092422731432,428.4026011574304,865645,Construction Materials
2022-03-14,428.6954040527344,450.8987516729955,426.4994685738074,444.21334214696174,194862,Construction Materials
2022-03-15,431.0377502441406,437.1863877548467,427.5730637892053,432.3065308975955,168167,Construction Materials
2022-03-16,431.7697143554688,440.06547073579145,415.9101800989695,439.1871024876724,640690,Construction Materials
2022-03-17,425.3771057128906,440.0166755106204,419.6676675349198,439.1870939318928,543480,Construction Materials
2022-03-21,418.5453186035156,428.4026351765111,414.7878229563488,424.449933346005,239304,Construction Materials
2022-03-22,411.8599243164063,420.6436667781305,407.2240602393851,420.6436667781305,184958,Construction Materials
2022-03-23,405.8576965332031,417.7157426155498,403.61294453175583,415.7637998930472,216311,Construction Materials
2022-03-24,405.0281066894531,407.76081453171753,401.4658172501251,406.9800493722939,169567,Construction Materials
