Date,Close,High,Low,Open,Volume,Sector
2022-01-10,156.19393920898438,159.7018437974329,153.97842793516276,154.80924114137656,4390326,Financial Services
2022-01-11,154.07069396972656,157.16319117791457,153.33219978795654,157.11703177008553,2294975,Financial Services
2022-01-12,157.1170196533203,158.1324702037536,153.79375383402257,155.36307497806922,3476955,Financial Services
2022-01-13,156.47080993652344,157.85550736959,154.71686548898737,157.80934797131366,2410394,Financial Services
2022-01-14,155.963134765625,157.85555801514536,154.90153869402528,155.963134765625,2109676,Financial Services
2022-01-17,155.0861358642578,157.62474820727394,154.25532291361984,155.96310822012518,2010362,Financial Services
2022-01-18,150.42431640625,160.3941421606015,149.4088799289871,156.47083220847168,9900346,Financial Services
2022-01-19,151.94747924804688,152.3167262834764,146.9625597545193,147.8856914289646,5515266,Financial Services
2022-01-20,149.73193359375,152.87058929432928,147.931829900435,152.3167047336772,3496472,Financial Services
2022-01-21,143.22389221191406,149.54735063547966,142.20845568998726,149.45503182172573,6642122,Financial Services
2022-01-24,137.59278869628906,144.47011734371975,135.33111874993568,144.47011734371975,5637013,Financial Services
2022-01-25,141.28530883789062,141.93149820767806,135.74651866393248,137.59278205525186,5135410,Financial Services
2022-01-27,141.56224060058594,142.43921282884983,137.22351068603788,138.515903415048,3502885,Financial Services
2022-01-28,145.02401733398438,148.1626599477491,142.11614359376586,142.16230300282467,4667236,Financial Services
2022-01-31,145.57789611816406,147.88572584129878,144.97786602449895,147.70110228062296,3149967,Financial Services
2022-02-01,146.7779541015625,148.25497059479545,143.7316163879403,145.9471411277897,3221470,Financial Services
2022-02-02,147.5164794921875,149.31658386848108,146.87028998350198,148.16266900087302,3819334,Financial Services
2022-02-03,145.57789611816406,148.5780747582392,145.02402543613658,147.9780446645741,1470097,Financial Services
2022-02-04,145.02401733398438,147.51647047854743,144.2393496376062,145.4394238437659,2313152,Financial Services
2022-02-07,143.31619262695312,145.76248593277472,142.53152506839896,145.30092009500677,3529098,Financial Services
2022-02-08,146.87026977539062,148.07032980388496,142.53153920145726,144.42396214112796,4760610,Financial Services
2022-02-09,146.1779022216797,148.62419545664875,145.3009158866237,147.83952792082113,2646012,Financial Services
2022-02-10,146.7779541015625,147.97802824158012,144.93169052795795,146.91641823523358,1496525,Financial Services
2022-02-11,141.00839233398438,146.08561758987253,140.31604343545416,145.94715344451623,4735593,Financial Services
2022-02-14,131.91549682617188,139.85443402917258,131.26930753892066,138.46973666254712,8257911,Financial Services
2022-02-15,117.7916030883789,130.7615992010372,114.23754746473004,129.2384375358562,43055953,Financial Services
2022-02-16,116.26844024658205,121.43798364319414,115.06837320610414,121.39182423885656,23365143,Financial Services
2022-02-17,113.22211456298828,117.46851935505522,111.97588806486183,117.46851935505522,17203242,Financial Services
2022-02-18,112.25281524658205,115.3914644892776,111.28353117063374,111.79124938862492,20612444,Financial Services
2022-02-21,109.89884185791016,113.2682672399295,108.23720182718388,112.34513545462303,9110785,Financial Services
