Date,Close,High,Low,Open,Volume,Sector
2022-01-10,2189.40185546875,2239.46161174917,2170.4741044211355,2226.01485591474,688840,Information Technology
2022-01-11,2188.476318359375,2211.618299147708,2180.75415719192,2192.398179947332,359116,Information Technology
2022-01-12,2185.333740234375,2210.91171846697,2180.218144587856,2210.91171846697,557828,Information Technology
2022-01-13,2201.338623046875,2213.201982301279,2156.369951863992,2199.2192569557665,475882,Information Technology
2022-01-14,2165.8701171875,2206.9899543201063,2155.9800603241083,2206.9899543201063,374448,Information Technology
2022-01-17,2132.886962890625,2159.195743097091,2108.989678135484,2150.962116869823,658630,Information Technology
2022-01-18,2118.831298828125,2172.910460513552,2099.465112548884,2120.3416653361696,546856,Information Technology
2022-01-19,2079.002685546875,2107.8692645189653,2042.048544888058,2095.0315062925274,640300,Information Technology
2022-01-20,2068.990966796875,2129.842158973867,2037.907484620045,2080.34262413303,775322,Information Technology
2022-01-21,2095.738037109375,2192.130534294301,2068.6496893132403,2074.008885399544,1894132,Information Technology
2022-01-24,1981.026611328125,2123.337662451704,1958.5423973053057,2086.1886928510744,1060836,Information Technology
2022-01-25,2018.9793701171875,2046.6524496228444,1851.382829742644,1978.030339645958,934114,Information Technology
2022-01-27,1990.9521484375,2036.6037171255136,1955.116209049932,2024.3158936254383,1173746,Information Technology
2022-01-28,2098.75390625,2134.614350297775,1996.3374810787188,2007.2057419232565,918400,Information Technology
2022-01-31,2154.123291015625,2173.0692100677625,2100.2224297986827,2144.7969850512413,595884,Information Technology
2022-02-01,2201.4150390625,2223.616499635256,2150.7697200811967,2183.937568151646,685796,Information Technology
2022-02-02,2171.77197265625,2219.6756964459364,2150.6964090917177,2213.800948241845,469574,Information Technology
2022-02-03,2125.997802734375,2168.7611200318606,2114.909263778248,2168.7611200318606,257468,Information Technology
2022-02-04,2103.2822265625,2126.144883711823,2073.8104777498443,2117.969096925462,229210,Information Technology
2022-02-07,2072.170654296875,2113.1958836059466,2057.630556885392,2108.545041281319,227136,Information Technology
2022-02-08,2038.2435302734373,2092.389165759608,2026.787820834061,2074.275361563748,252002,Information Technology
2022-02-09,2137.674072265625,2150.3536897428826,2041.964629662183,2055.378590688828,483280,Information Technology
2022-02-10,2160.4384765625,2181.5386599570534,2116.8184268815485,2154.07416652504,517078,Information Technology
2022-02-11,2054.325927734375,2124.25995439976,2038.9781008765283,2107.565831134104,481266,Information Technology
2022-02-14,1930.7847900390625,2036.775032538636,1910.2721765973884,1943.5624144263536,811122,Information Technology
2022-02-15,2035.5269775390625,2043.922924497935,1934.7995184455413,1948.4582609585104,756284,Information Technology
2022-02-16,1968.358642578125,2065.781541708117,1958.2492287435557,2040.9852586579707,465292,Information Technology
2022-02-17,1915.706298828125,1987.6229534482595,1905.6457695805232,1987.6229534482595,440096,Information Technology
2022-02-18,1888.92724609375,1930.8828333886293,1879.6990678873096,1894.606216930062,392320,Information Technology
2022-02-21,1878.646484375,1944.517121430329,1820.5109562317705,1872.5759591398137,808276,Information Technology
2022-02-22,1922.5111083984373,1933.722037004778,1787.4164186887515,1810.8909065357325,650504,Information Technology
2022-02-23,1938.4954833984373,1965.0542405027256,1911.961228315708,1947.258721050229,553572,Information Technology
2022-02-24,1848.63623046875,1918.3988575255123,1826.630309684788,1862.784532989339,899934,Information Technology
2022-02-25,1896.3929443359373,1958.2491883827968,1860.3367289636572,1884.8148438184423,582678,Information Technology
2022-02-28,1927.798583984375,1938.1038950261932,1836.8623803846865,1884.814987126787,765496,Information Technology
2022-03-02,1902.3414306640625,1947.944116408088,1897.054133304248,1916.1470652265357,430388,Information Technology
2022-03-03,2003.7052001953125,2013.6432197281035,1926.45224177178,1942.09373407704,1009176,Information Technology
2022-03-04,1993.5958251953125,2036.5060379069264,1954.9449006476784,1997.4144355205729,815010,Information Technology
2022-03-07,2028.9908447265625,2046.6640906279415,1933.795484445404,1933.795484445404,579128,Information Technology
2022-03-08,2054.277099609375,2065.953209991256,2013.0804738113843,2031.6838439487465,657538,Information Technology
2022-03-09,2075.2548828125,2102.6703754847103,2034.8659873579045,2065.9531977987144,534890,Information Technology
2022-03-10,2095.106201171875,2112.7304436002664,2046.370370852111,2093.9559210264024,356068,Information Technology
2022-03-11,2133.830810546875,2139.925957197872,2069.379977348383,2085.535534304261,343750,Information Technology
2022-03-14,2190.84033203125,2201.904487999312,2124.4556352669747,2130.1099843059405,427208,Information Technology
2022-03-15,2118.287353515625,2229.956577002674,2100.7364948867025,2227.5087651728136,1011728,Information Technology
2022-03-16,2168.002685546875,2186.091872630589,2133.5863057234533,2154.074539779961,428738,Information Technology
2022-03-17,2195.662841796875,2203.055042331228,2166.2644781208846,2197.155911404221,1904464,Information Technology
2022-03-21,2169.10400390625,2272.5484330412114,2155.494027123781,2182.126171205833,1091848,Information Technology
2022-03-22,2223.493896484375,2239.2578977221783,2136.572208162225,2169.7400530618047,690616,Information Technology
2022-03-23,2198.526123046875,2236.9567608319385,2174.170400374175,2231.4248028575785,508864,Information Technology
2022-03-24,2271.44677734375,2276.464791130651,2179.2132839377286,2195.1974458988902,674724,Information Technology
2022-03-25,2289.1689453125,2312.2027560407696,2256.8822158263706,2283.808142479397,566604,Information Technology
2022-03-28,2267.3837890625,2298.421996263315,2230.9601566171423,2295.9985668554773,521584,Information Technology
2022-03-29,2329.337890625,2349.4099489511086,2269.121715646674,2273.527777230454,823534,Information Technology
2022-03-30,2343.633056640625,2369.432849929957,2320.599003869203,2337.439901468799,631508,Information Technology
2022-03-31,2332.910888671875,2386.6159629847693,2318.077248150335,2345.003171835291,455058,Information Technology
2022-04-01,2312.08056640625,2344.954630086322,2288.703964416753,2344.954630086322,738580,Information Technology
2022-04-04,2345.738037109375,2355.920838532711,2318.0777638970867,2318.0777638970867,452170,Information Technology
2022-04-05,2406.54150390625,2425.291644457918,2349.8990499390407,2349.8990499390407,933252,Information Technology
2022-04-06,2386.4697265625,2422.574950531602,2375.4055694424665,2398.365996266197,346008,Information Technology
2022-04-07,2303.831298828125,2392.393075666369,2295.8759110419737,2386.469562765503,514130,Information Technology
2022-04-08,2306.279052734375,2340.59741868794,2283.857194414364,2335.2122332443987,630024,Information Technology
2022-04-11,2210.569580078125,2301.432391526005,2197.180003252451,2300.9428292219154,729670,Information Technology
2022-04-12,2145.62939453125,2225.0118819624568,2120.392550946778,2210.8145737789177,579970,Information Technology
2022-04-13,2119.780517578125,2185.3082445588484,2106.80711576472,2168.761133335243,410852,Information Technology
2022-04-18,2063.676513671875,2119.2908394225124,2057.6303713861066,2095.3266689346983,626892,Information Technology
2022-04-19,2043.4576416015625,2130.820139012856,2019.371317287784,2090.186463759997,542548,Information Technology
2022-04-20,1951.2730712890625,2084.4096435389733,1930.393285568316,2048.8183662660044,855724,Information Technology
2022-04-21,1964.05078125,1987.1335984739544,1946.4999230185867,1975.38410195674,539916,Information Technology
