Date,Close,High,Low,Open,Volume,Sector
2022-01-10,26581.9765625,26869.94178057466,26458.66088952956,26636.18536161485,21424,Construction Materials
2022-01-11,26674.21484375,26853.219091548828,26438.878458982683,26636.676784767234,26722,Construction Materials
2022-01-12,26355.517578125,26916.06050255623,26224.802971282472,26754.567075995208,41881,Construction Materials
2022-01-13,26493.43359375,26586.856768704158,26004.80684315553,26525.69220025667,32020,Construction Materials
2022-01-14,26713.578125,26784.164788563558,26219.132361946617,26468.476658458934,24063,Construction Materials
2022-01-17,27174.18359375,27560.309971680934,26295.33793802677,26641.11504685561,47661,Construction Materials
2022-01-18,26789.638671875,27267.21519833996,26488.20508683984,27178.772817223,44022,Construction Materials
2022-01-19,26046.48828125,26734.343064615117,25994.942332980616,26587.35079108137,48367,Construction Materials
2022-01-20,25721.03125,26353.04903759768,25605.16462995933,26220.65811959797,40050,Construction Materials
2022-01-21,24699.83203125,25536.209004164582,24477.22412468391,25536.209004164582,133581,Construction Materials
2022-01-24,23993.181640625,24949.172750263373,23748.226657447784,24843.26965311581,50537,Construction Materials
2022-01-25,24167.40234375,24339.500903116637,23183.39350256252,23775.258556357792,43208,Construction Materials
2022-01-27,23638.923828125,24061.353210945614,23432.098403785483,24061.353210945614,38764,Construction Materials
2022-01-28,23799.62890625,24266.3556214878,23621.26626731954,23621.26626731954,24109,Construction Materials
2022-01-31,23940.107421875,24219.195811104524,23884.368743124392,24219.195811104524,19599,Construction Materials
2022-02-01,25146.185546875,25289.57661699552,24012.076422624672,24258.657656014035,78151,Construction Materials
2022-02-02,24925.00390625,25535.811407484995,24820.975588110923,25245.181450705822,25400,Construction Materials
2022-02-03,24466.71875,25057.69564859647,24379.06635152308,24939.36269482404,21469,Construction Materials
2022-02-04,24390.90234375,24884.11491151471,24293.1862391393,24470.76079845077,34121,Construction Materials
2022-02-07,24530.494140625,24786.44735060319,23972.564004762487,24159.017280355085,39058,Construction Materials
2022-02-08,24430.314453125,24692.483572246223,24176.82752805041,24584.212412044704,29111,Construction Materials
2022-02-09,25123.001953125,25254.061455429237,24345.323279151395,24589.143395311286,32205,Construction Materials
2022-02-10,24951.2890625,25260.123940998088,24887.792611480792,25168.313122274576,19294,Construction Materials
2022-02-11,24608.26171875,24879.29522294964,24390.594884474813,24607.964465163182,19479,Construction Materials
2022-02-14,23312.53515625,24341.12898762758,23235.253090869348,24262.06726131779,35182,Construction Materials
2022-02-15,24617.0546875,24679.958562214564,23312.53614789796,23328.151611595556,53569,Construction Materials
2022-02-16,24624.12109375,24889.22495474708,24277.58326554936,24639.093794776287,35980,Construction Materials
2022-02-17,24433.880859375,24894.31702998457,24290.97715774266,24894.31702998457,30441,Construction Materials
2022-02-18,24063.96875,24449.838611948213,23827.32596472168,24301.597876629206,36614,Construction Materials
2022-02-21,24388.916015625,24699.876111121885,23767.98602661005,24054.534651490685,65698,Construction Materials
2022-02-22,24107.6015625,24262.06919467389,23629.57533379441,23709.62533806197,62313,Construction Materials
2022-02-23,24314.892578125,24508.49539014168,23862.80846118025,24311.48381284827,46904,Construction Materials
2022-02-24,22880.712890625,23945.031299073496,22564.21888666328,23817.644624323195,93756,Construction Materials
2022-02-25,23702.1640625,23807.46518391671,23224.38488260866,23338.33338137528,46935,Construction Materials
2022-02-28,24128.35546875,24208.702727272877,23283.97770160092,23590.04466443515,39994,Construction Materials
2022-03-02,23651.9609375,23916.17498878077,23378.55518738008,23822.2891778744,44055,Construction Materials
2022-03-03,22559.328125,23941.870038032248,22481.648425744603,23744.21569940406,80837,Construction Materials
2022-03-04,22285.873046875,22630.434371989973,21857.26036915522,22630.434371989973,92672,Construction Materials
2022-03-07,21732.4375,22107.78381725218,21396.07965461412,21890.066816624065,55412,Construction Materials
2022-03-08,22318.978515625,22437.66955580368,21457.354255940816,21727.15241879416,51900,Construction Materials
2022-03-09,21707.041015625,22431.691194054456,21592.30306451803,22318.13839682565,246411,Construction Materials
2022-03-10,21937.2578125,22483.081002463718,21791.389306856887,22038.45721283032,342415,Construction Materials
2022-03-11,22131.947265625,22171.28124824226,21662.22292212425,21890.216413084385,45123,Construction Materials
2022-03-14,22099.185546875,22161.940794466464,21702.44467887413,22131.94713697619,31448,Construction Materials
2022-03-15,22533.0859375,22582.005380227405,22039.494473825474,22060.24817680074,83329,Construction Materials
2022-03-16,23318.71484375,23436.71487144196,22495.93039338582,22680.835643459453,58201,Construction Materials
2022-03-17,23807.66015625,24099.003401279468,23423.42130936061,23521.852776454896,65189,Construction Materials
2022-03-21,23115.96875,23904.36237703257,23059.340018240066,23904.36237703257,50943,Construction Materials
2022-03-22,23099.16796875,23391.89322694748,22761.87011990344,23071.990501387318,39121,Construction Materials
2022-03-23,23138.599609375,23372.623093877835,23002.02124778041,23184.85149185514,39577,Construction Materials
2022-03-24,23000.787109375,23352.85888155245,22928.09895807753,23138.6008176531,29951,Construction Materials
2022-03-25,22986.55859375,23220.383308348413,22879.47973357824,23220.383308348413,34349,Construction Materials
2022-03-28,22925.484375,23174.67555550856,22636.36469906154,23136.97453197879,28362,Construction Materials
2022-03-29,23368.2265625,23461.568044067488,22957.549522480527,22957.549522480527,31238,Construction Materials
2022-03-30,23806.626953125,23866.76290342393,23431.429194978453,23560.39865911497,34361,Construction Materials
2022-03-31,23750.736328125,24044.20474603097,23625.37445822492,24023.894991999397,22006,Construction Materials
2022-04-01,24324.181640625,24361.88459034236,23670.144616861053,23713.578384051965,34916,Construction Materials
2022-04-04,24474.59765625,24528.902411459698,24043.610844483377,24301.599931417968,23605,Construction Materials
2022-04-05,24862.888671875,24973.625285403858,24393.015674989343,24430.07586288814,32602,Construction Materials
2022-04-06,24442.923828125,24982.02603765244,24368.753265341067,24706.79237064347,33643,Construction Materials
2022-04-07,24452.310546875,24772.460365943105,24278.868877642846,24439.957151630544,30112,Construction Materials
2022-04-08,24964.384765625,24993.39015265297,24313.310627283605,24459.723459002016,29884,Construction Materials
2022-04-11,24908.05078125,25193.85814307574,24658.363586654927,24964.382259925776,35975,Construction Materials
2022-04-12,24828.001953125,25102.048510285065,24558.5493147408,24805.61721529151,46653,Construction Materials
2022-04-13,25066.078125,25216.09660300733,24825.38379308768,24828.003098997997,36907,Construction Materials
2022-04-18,25137.03515625,25200.977490719542,24607.96430963643,24874.79765757225,34525,Construction Materials
2022-04-19,24569.322265625,25473.04647504624,24360.30281831893,25102.09910909772,38327,Construction Materials
2022-04-20,25412.26953125,25472.70273095018,24588.249756807996,24804.63107057686,46140,Construction Materials
2022-04-21,25750.951171875,25793.89080421085,25324.56019813199,25447.995716798065,20640,Construction Materials
2022-04-22,25552.009765625,25709.886156689045,25305.534437913968,25498.494471436687,17334,Construction Materials
2022-04-25,25348.771484375,25718.138004186963,25215.750509705053,25399.07489612677,26453,Construction Materials
2022-04-26,25864.35546875,26021.93461651323,25537.434423934377,25670.356965294613,26557,Construction Materials
2022-04-27,25274.849609375,25774.123655960782,25143.55618146999,25705.932914693098,26064,Construction Materials
2022-04-28,25569.158203125,25769.184782842556,25183.53535479942,25586.35451688566,27928,Construction Materials
2022-04-29,25617.484375,26031.07607343325,25475.223438629742,25569.356316230143,34276,Construction Materials
2022-05-02,25922.560546875,25976.471533903325,25301.184788043676,25510.105787076434,33592,Construction Materials
2022-05-04,24898.0234375,25891.73064635968,24813.624647044013,25891.73064635968,29265,Construction Materials
2022-05-05,24794.400390625,25793.888476246226,24724.677057924822,25129.078950326857,33435,Construction Materials
2022-05-06,23692.478515625,24765.29562394785,23570.27834270193,24558.54997132676,43939,Construction Materials
2022-05-09,23776.134765625,23904.01556304437,23224.432159792814,23599.92517200648,35191,Construction Materials
2022-05-10,24015.591796875,24229.35571016713,23618.85094604616,23718.81500168236,33489,Construction Materials
2022-05-11,23108.064453125,24449.840070004877,22978.353801985624,24173.12401424087,43449,Construction Materials
2022-05-12,22362.01953125,23108.066226313505,22244.859148705316,22900.23191496689,43801,Construction Materials
2022-05-13,22300.6953125,22809.359889369767,22137.28498106065,22730.247971624776,44842,Construction Materials
2022-05-16,21723.052734375,22577.068154141634,21435.614281607883,22577.068154141634,51382,Construction Materials
2022-05-17,21777.357421875,21962.65835816209,21534.439475711133,21751.85924095466,43000,Construction Materials
2022-05-18,22237.396484375,22322.48628293532,21721.171270887586,21855.62639390813,57388,Construction Materials
2022-05-19,21955.7890625,22038.45837423892,21450.63360928184,21450.63360928184,28366,Construction Materials
2022-05-20,21743.16015625,23693.811394691376,21564.2347428267,22404.116968410992,50620,Construction Materials
2022-05-23,21684.357421875,21914.82350892337,21494.90653498485,21549.311656715727,56200,Construction Materials
2022-05-24,21393.509765625,21839.61592575429,21322.00870560056,21742.96219685371,39072,Construction Materials
2022-05-25,21004.529296875,21523.56880846496,20832.71672201261,21489.86913039321,34128,Construction Materials
2022-05-26,21436.796875,21609.597714215422,20433.504285202074,20981.00676991875,67112,Construction Materials
2022-05-27,21669.884765625,21728.14261297894,21406.016209377143,21445.496893552398,17959,Construction Materials
2022-05-30,22196.978515625,22374.126221352744,21643.347540207145,21643.347540207145,30978,Construction Materials
2022-05-31,21856.912109375,22178.642772835257,21751.95650660293,22127.401276066703,59959,Construction Materials
2022-06-01,21535.921875,21912.453377391987,21346.667852144183,21840.803682054928,29100,Construction Materials
2022-06-02,21381.009765625,21523.567949042485,21162.84880209357,21494.908071613663,38808,Construction Materials
2022-06-03,20395.94921875,21592.695937041983,20308.981318214577,21554.203530426275,105159,Construction Materials
2022-06-06,19768.1015625,20358.346835354776,19679.454363092795,20358.346835354776,69175,Construction Materials
2022-06-07,19553.349609375,19756.63630861713,19273.2730474698,19577.85758731113,72631,Construction Materials
2022-06-08,19354.064453125,19670.755323547724,19286.12077884646,19666.60535480628,72900,Construction Materials
2022-06-09,18972.837890625,19345.267651423896,18856.2720292504,19296.99097053567,60727,Construction Materials
2022-06-10,18953.9140625,19104.872562723685,18540.816497239768,18754.431808477173,64693,Construction Materials
2022-06-13,18911.220703125,19119.05307208534,18373.353859951578,18385.26137515145,46950,Construction Materials
2022-06-14,18983.560546875,19197.12565369557,18676.553588141676,18903.659174019624,36353,Construction Materials
2022-06-15,19087.673828125,19147.761511173678,18827.56152512876,19120.238534219254,30378,Construction Materials
2022-06-16,18492.390625,19261.36441551792,18431.266409038308,19207.05966003536,49042,Construction Materials
2022-06-17,17834.1015625,18518.62824682797,17769.31958944187,18518.62824682797,75217,Construction Materials
2022-06-20,18198.033203125,18286.483511134105,17655.668978128342,17738.486910116793,37518,Construction Materials
2022-06-21,18333.7734375,18460.914975125525,18198.034708349114,18286.979159514063,26893,Construction Materials
2022-06-22,18279.814453125,18371.97078857604,17922.30716787662,18333.7737015653,27406,Construction Materials
2022-06-23,18316.23046875,18428.10397401048,18025.7287987986,18279.762860011306,20770,Construction Materials
2022-06-24,18573.232421875,18715.296475699077,18343.754579932305,18381.853225236377,30264,Construction Materials
2022-06-27,18877.470703125,18961.325165609524,18630.995370435347,18678.333967963903,28772,Construction Materials
2022-06-28,19011.283203125,19125.03288347702,18594.33100985015,18866.10571235925,37399,Construction Materials
2022-06-29,19156.755859375,19361.229647184853,18788.180724315174,18876.97654488683,125068,Construction Materials
2022-06-30,18786.748046875,19220.896583323112,18648.687260389077,19172.471269292422,54351,Construction Materials
2022-07-01,18988.453125,19045.969758472354,18677.1958348938,18826.57346922469,17699,Construction Materials
2022-07-04,19066.1328125,19298.129587764382,18827.56364456576,19039.99186861517,18325,Construction Materials
2022-07-05,19336.27734375,19462.03491971781,19077.40033961121,19161.5018766706,35621,Construction Materials
2022-07-06,19756.388671875,19864.25890165569,19172.468790652754,19221.882370010106,25203,Construction Materials
2022-07-07,19779.861328125,19936.3537574481,19686.42140199361,19824.72924696084,19677,Construction Materials
2022-07-08,19699.01953125,20109.349098543407,19627.07259175703,20086.618853346507,21583,Construction Materials
2022-07-11,19621.29296875,19805.555436441176,19532.298339102923,19686.320081884525,16712,Construction Materials
2022-07-12,19727.9765625,20259.56825409871,19356.338177120862,19567.828304261213,26628,Construction Materials
2022-07-13,19548.64453125,19891.30874397245,19464.896612995453,19701.13190506982,22871,Construction Materials
2022-07-14,19376.94140625,19756.55225191631,19191.02448737044,19611.9888954805,21860,Construction Materials
2022-07-15,19514.72265625,19605.79877270697,19265.36314423085,19314.78777193897,19672,Construction Materials
2022-07-18,19865.2578125,19908.147425753163,19592.176530245164,19610.996113363195,18144,Construction Materials
2022-07-19,19877.640625,19995.313327464024,19713.317484446718,19790.27890636208,16234,Construction Materials
2022-07-20,20016.3125,20181.5294263873,19921.96694525824,20097.33654289072,19629,Construction Materials
2022-07-21,20248.833984375,20315.248087522534,19910.13173121845,20016.31304392908,21427,Construction Materials
2022-07-22,20582.68359375,20688.864902750407,20157.757161520996,20254.826602915964,45573,Construction Materials
2022-07-25,20482.69140625,20617.695999306525,20118.33280402508,20503.44170022613,27434,Construction Materials
2022-07-26,20456.24609375,20543.064203783564,20206.292659459243,20453.91879499183,21917,Construction Materials
2022-07-27,20823.869140625,20929.35785865371,20344.71263971995,20426.181626178743,25232,Construction Materials
2022-07-28,20221.591796875,21416.685626024257,19849.657403545425,20949.16756037429,116841,Construction Materials
2022-07-29,20303.361328125,20518.20214201274,19980.901812934637,20231.05449931472,54333,Construction Materials
2022-08-01,20748.09765625,20785.88578964913,20354.86737174476,20429.402834991663,32066,Construction Materials
2022-08-02,20910.490234375,21086.75167118348,20612.497341982264,20701.54408359258,32690,Construction Materials
2022-08-03,20757.455078125,21087.8385932806,20636.168588652323,20998.69319763028,23018,Construction Materials
2022-08-04,20491.45703125,21047.971559604444,20344.910739748448,20850.11829925875,28415,Construction Materials
2022-08-05,21035.740234375,21074.963824874478,20503.541403340525,20593.924937157317,32998,Construction Materials
2022-08-08,20994.337890625,21070.31075049344,20804.06235314542,20998.646198509367,20766,Construction Materials
2022-08-10,20904.49609375,21246.318765385964,20656.9686644347,21038.31284740317,25095,Construction Materials
2022-08-11,20991.7109375,21246.32088539176,20949.31850692366,21009.044765728177,17013,Construction Materials
2022-08-12,20951.34765625,21097.744989208608,20850.118874311796,21096.70418569443,16651,Construction Materials
2022-08-16,21236.962890625,21394.79940217077,20850.12056866543,21003.64877237769,31930,Construction Materials
2022-08-17,21217.544921875,21592.996396817296,21158.4125817208,21256.0275663279,28971,Construction Materials
2022-08-18,21417.18359375,21466.55985625716,21001.22200198121,21196.796342062666,27367,Construction Materials
2022-08-19,21219.775390625,21568.235650185008,21132.413666897686,21444.42258675111,26082,Construction Materials
2022-08-22,20732.693359375,21267.86368143051,20620.717993328544,21186.889943567647,50277,Construction Materials
2022-08-23,20926.0390625,21093.33563372829,20545.04117827333,20701.490566147928,41131,Construction Materials
2022-08-24,21145.2890625,21240.822443159595,20879.83386909781,20983.8368366621,19541,Construction Materials
2022-08-25,21506.427734375,21727.65652871293,21146.626972832903,21196.79641294104,88611,Construction Materials
2022-08-26,21888.068359375,21989.89105463062,21375.08572514445,21506.426226419306,35767,Construction Materials
2022-08-29,21687.888671875,22014.952475904607,21206.70082377025,21211.653346148527,33834,Construction Materials
2022-08-30,21863.505859375,22335.877871882905,21692.049906617987,21751.480180334747,52105,Construction Materials
2022-09-01,21381.181640625,21841.468362645872,21340.421988690123,21801.00663592804,34381,Construction Materials
2022-09-02,20888.15625,21402.62469306452,20811.49081197537,21381.030920341746,87390,Construction Materials
2022-09-05,21091.455078125,21164.94973312256,20603.48268295209,20992.60196201378,40749,Construction Materials
2022-09-06,21448.73046875,21493.947385534462,20971.852856924237,21090.81205899472,31067,Construction Materials
2022-09-07,22960.93359375,23350.59649059455,21295.84534040718,21375.085695162183,227529,Construction Materials
2022-09-08,24226.203125,24643.75105548105,22927.108156454164,23128.279226104605,368238,Construction Materials
2022-09-09,24272.908203125,25307.391554401587,24002.401794208865,24353.53566137268,434043,Construction Materials
2022-09-12,23905.923828125,24762.61152330092,23676.22545671905,24365.419234467176,174699,Construction Materials
2022-09-13,23705.052734375,24711.05712946373,23623.53343635832,24148.500846055173,137542,Construction Materials
2022-09-14,23902.2109375,24068.269407719843,23281.907479885096,23524.482424517315,161087,Construction Materials
2022-09-15,23685.5390625,24303.3179201354,23484.863224645156,24118.78614593461,102259,Construction Materials
2022-09-16,23096.283203125,23838.61787131645,22990.597159631456,23737.437462003694,122585,Construction Materials
2022-09-19,23178.890625,23509.91833476344,22792.990522697623,23177.801457146405,74383,Construction Materials
2022-09-20,23021.99609375,23497.685837009438,22597.120000593262,23294.83169443658,59048,Construction Materials
2022-09-21,21814.818359375,23186.12332116473,21593.094338863037,23073.304484367247,135651,Construction Materials
2022-09-22,21497.416015625,22464.643731857763,21319.423117560094,21654.75728024379,175114,Construction Materials
2022-09-23,21000.126953125,21790.10444405057,20950.305746785754,21604.930436036742,85503,Construction Materials
2022-09-26,20551.48046875,21147.26886318589,20440.14738767862,20949.167983905463,100129,Construction Materials
