Date,Close,High,Low,Open,Volume,Sector
2022-01-10,332.8095092773437,337.6121493705243,329.6235860068866,335.615001273907,336312,Capital Goods
2022-01-11,333.0472717285156,335.85276378755253,325.39154202480773,335.85276378755253,354318,Capital Goods
2022-01-12,329.29071044921875,336.99397908306617,328.1019353212432,335.9003117698948,179437,Capital Goods
2022-01-13,334.47381591796875,335.6150227441625,326.34257579502645,331.33543184456124,297066,Capital Goods
2022-01-14,333.2850341796875,338.4680767546012,330.81237590348894,332.9046028888626,244718,Capital Goods
2022-01-17,336.09051513671875,337.1366431060712,331.00255153069264,336.4709173920746,250076,Capital Goods
2022-01-18,332.0487365722656,339.4191440000773,330.004048703311,338.08772136607223,355509,Capital Goods
2022-01-19,330.6221618652344,335.4248312183343,326.9607283444914,330.9550247349079,260291,Capital Goods
2022-01-20,322.5860595703125,334.66399855138565,320.6364507700549,332.8570659976791,275304,Capital Goods
2022-01-21,323.72723388671875,330.9549923988458,319.5427512816442,319.8280457004422,360091,Capital Goods
2022-01-24,306.03826904296875,323.7272494284209,304.3264444023381,323.7272494284209,392868,Capital Goods
2022-01-25,315.7386474609375,319.59026694282085,300.42721929456144,304.32640719126505,250254,Capital Goods
2022-01-27,316.49951171875,320.77910262913304,309.6997230768192,310.9836061545008,220106,Capital Goods
2022-01-28,317.8309326171875,319.495217810976,312.41010637685866,318.4015214653648,176456,Capital Goods
2022-01-31,311.6492919921875,320.6364143393072,309.08152616567924,318.6392663656707,225297,Capital Goods
2022-02-01,326.2474670410156,328.2921836832665,313.218507753048,316.2142155696677,348601,Capital Goods
2022-02-02,336.85137939453125,339.2289299859019,325.3440287277303,327.15096137260514,504106,Capital Goods
2022-02-03,326.48516845703125,339.89455683932164,325.2488540128972,339.89455683932164,212132,Capital Goods
2022-02-04,328.14947509765625,331.14521164189176,324.29785528768247,328.1970435165286,169223,Capital Goods
2022-02-07,324.06011962890625,330.66972135226035,322.4909421689453,329.528485550744,155327,Capital Goods
2022-02-08,320.1609191894531,327.9592958214608,316.5945937216748,325.24888266138305,186521,Capital Goods
2022-02-09,324.9635925292969,332.85704805986984,320.9692963434459,322.0154242990575,256002,Capital Goods
2022-02-10,333.5703430175781,340.2750239765812,330.0991250102728,332.8570778507551,791151,Capital Goods
2022-02-11,326.4377136230469,334.23609158821614,324.2979179765739,332.80956115723416,265228,Capital Goods
2022-02-14,315.5009460449219,321.4448221949769,309.08155980286244,320.0182919189637,313139,Capital Goods
2022-02-15,317.30780029296875,319.73291857748296,308.1304635863958,316.6896431304624,206078,Capital Goods
2022-02-16,314.0744323730469,321.1595447276134,313.3611671973322,321.11197630219857,177036,Capital Goods
2022-02-17,313.97869873046875,320.777267558939,312.5423826070705,318.4791676058871,119875,Capital Goods
2022-02-18,311.8575439453125,315.7623799275579,311.3272383247262,313.35198008078265,134441,Capital Goods
2022-02-21,306.0725402832031,311.18257545373564,298.8895380035881,309.5434920241872,286192,Capital Goods
2022-02-22,297.8290100097656,300.7214899310463,294.1169882260233,296.9612719181469,312547,Capital Goods
2022-02-23,302.6497802734375,305.1084056203203,300.3358024475312,300.3358024475312,150339,Capital Goods
2022-02-24,280.8115539550781,294.74367544014694,278.7868124023112,288.28379272984847,626063,Capital Goods
2022-02-25,288.7658996582031,295.1775573217753,287.3196597600819,289.2479796242435,260377,Capital Goods
2022-02-28,294.6472473144531,295.85244709124345,283.4147912795322,287.31962678680367,173738,Capital Goods
2022-03-02,307.9526672363281,311.4236487730529,290.5495927508935,292.71895253336834,399327,Capital Goods
2022-03-03,309.7845458984375,319.088711925812,308.5311498716134,316.24442861840373,223879,Capital Goods
2022-03-04,297.78076171875,309.2542575157872,296.96121999957114,308.5311376618921,205679,Capital Goods
2022-03-07,297.49151611328125,299.17879588574897,289.48900096196394,290.2121208644501,243267,Capital Goods
2022-03-08,299.0824279785156,301.3481803198255,295.2257881821393,298.8413879912421,173467,Capital Goods
2022-03-09,303.1800537109375,307.13308525841177,301.6855884019804,305.638649373276,205348,Capital Goods
2022-03-10,301.2999572753906,309.49531611328126,300.0465612226546,307.5669963867188,239606,Capital Goods
2022-03-11,300.191162109375,306.2653571303232,299.41981660867185,302.74617971584297,166567,Capital Goods
2022-03-14,301.6374206542969,305.4940601271373,299.1787953360666,300.81787888155344,250299,Capital Goods
2022-03-15,297.3951416015625,304.28887920293454,295.9970979362421,304.28887920293454,373628,Capital Goods
2022-03-16,312.9180908203125,316.0034143393036,304.6263390326973,304.6745352592523,716944,Capital Goods
2022-03-17,334.9491271972656,342.1803260980003,316.24443192546335,316.24443192546335,1290908,Capital Goods
2022-03-21,346.1816101074219,354.6180094708067,337.45597453539415,340.8305342807481,1124926,Capital Goods
2022-03-22,344.44610595703125,354.0395082213751,342.5177862595811,346.5190437470255,756545,Capital Goods
2022-03-23,348.6884155273437,352.8825168998528,342.75883813633243,346.5190557923037,381297,Capital Goods
2022-03-24,364.54888916015625,371.6836670263506,349.556184029181,350.4721477667404,2111670,Capital Goods
2022-03-25,356.69097900390625,369.8999524324892,352.97895737687224,367.24851261658296,558993,Capital Goods
2022-03-28,348.4955749511719,359.2459509435006,344.2050520289017,359.2459509435006,384208,Capital Goods
2022-03-29,355.0518798828125,358.1853995287572,344.7835829277894,349.99004045474794,558180,Capital Goods
2022-03-30,349.9900207519531,354.7626237135545,346.181577627134,352.4486165662186,360075,Capital Goods
2022-03-31,349.36334228515625,354.61799603525526,347.3386006298909,349.9900403293557,216105,Capital Goods
2022-04-01,350.9542236328125,356.7391833630237,348.4474018649556,351.2434598497923,194149,Capital Goods
2022-04-04,357.6551208496094,363.2472364090038,348.0617182313215,352.882517652808,474508,Capital Goods
2022-04-05,356.64276123046875,363.9703827683181,355.2929431791397,363.9703827683181,244429,Capital Goods
2022-04-06,357.7033386230469,363.488298277328,352.882538911146,355.726822510698,357716,Capital Goods
2022-04-07,352.7861022949219,362.1866613404314,351.58090241729246,358.57106170754315,278563,Capital Goods
2022-04-08,354.71441650390625,360.5957976987307,353.8466784904657,358.57105605148627,200457,Capital Goods
2022-04-11,356.8355407714844,359.4869801687783,350.9541602236318,356.73911890863667,403186,Capital Goods
2022-04-12,346.0369873046875,357.75152437687933,339.67352598651365,357.75152437687933,435980,Capital Goods
2022-04-13,348.4955749511719,354.8108099345542,346.2297935138362,349.8935890208054,187198,Capital Goods
