Date,Close,High,Low,Open,Volume,Sector
2022-01-10,178.37591552734375,180.153736455682,176.4005455439662,176.4005455439662,176971,Capital Goods
2022-01-11,176.3511505126953,180.64757099477643,175.21530377975623,179.3142053572518,126023,Capital Goods
2022-01-12,176.94374084472656,178.62281720332035,175.46221351952636,176.35113895717166,112818,Capital Goods
2022-01-13,176.5487060546875,179.61053579643473,175.46224645061508,176.9437740538712,300583,Capital Goods
2022-01-14,199.5123748779297,202.030974703683,175.90670882913946,175.90670882913946,5227208,Capital Goods
2022-01-17,202.0309600830078,207.1175315609124,198.57406274865968,199.51236043952176,2288959,Capital Goods
2022-01-18,197.48760986328125,210.1793679570249,193.6850317111177,202.52480931836385,1121412,Capital Goods
2022-01-19,194.42579650878903,199.41359365669103,190.96889904025196,197.98145343390107,566868,Capital Goods
2022-01-20,193.2899475097656,198.672827634862,191.21581809495763,194.425794278927,363701,Capital Goods
2022-01-21,199.85806274414065,209.88305931359204,193.6850315878585,194.5739420460124,3444309,Capital Goods
2022-01-24,184.99337768554688,202.57417124510584,182.22785705749124,201.0432566946755,751300,Capital Goods
2022-01-25,211.660888671875,218.03145361146625,171.90656927046385,182.67232924150164,6990365,Capital Goods
2022-01-27,205.2903289794922,228.8466066936884,200.10498283807533,209.8336708418266,5900855,Capital Goods
2022-01-28,205.0434112548828,215.8091716859212,198.67283097221235,207.2163152325107,1478567,Capital Goods
2022-01-31,200.5000457763672,213.98193937780684,197.53699091267703,207.90768293559256,792507,Capital Goods
2022-02-01,203.5618896484375,211.3645953163441,198.672836718764,202.1791215711312,1064635,Capital Goods
2022-02-02,207.41384887695312,212.35227385021392,204.45079389299664,204.45079389299664,924360,Capital Goods
2022-02-03,203.11740112304688,216.00669255601971,201.882794952664,208.8459767677988,1621199,Capital Goods
2022-02-04,207.3150634765625,210.3768928277583,203.11740246943583,205.43846811349167,891289,Capital Goods
2022-02-07,205.4384765625,208.35214424957164,202.9692641038161,205.9323190542368,385331,Capital Goods
2022-02-08,206.82122802734372,213.2411803738672,203.1174093658879,204.0557221501581,883443,Capital Goods
2022-02-09,202.3272705078125,211.31519462009797,200.20373879684217,208.40152699617505,554238,Capital Goods
2022-02-10,204.7964782714844,206.22861841984852,202.47541263488043,203.3643230522441,181218,Capital Goods
2022-02-11,200.7469787597656,204.549572085657,198.52468748198223,200.5000575066786,165103,Capital Goods
2022-02-14,184.30203247070312,196.54932080400897,182.72173039568676,196.54932080400897,364934,Capital Goods
2022-02-15,183.4624938964844,192.499805871648,176.05485618868553,185.2403299605316,596013,Capital Goods
2022-02-16,190.77134704589844,197.38884844040703,188.10460062543504,192.49979575353464,937245,Capital Goods
2022-02-17,186.32676696777344,192.4010386868231,183.90694176121997,190.77134941401016,225467,Capital Goods
2022-02-18,186.03045654296875,191.11702773867103,185.0427716450945,187.56135607797344,171676,Capital Goods
2022-02-21,174.27700805664062,185.38846384891423,172.84486787981177,181.4377240116614,327337,Capital Goods
2022-02-22,176.49929809570312,178.5734425254568,162.9680172531054,162.9680172531054,560962,Capital Goods
2022-02-23,177.43760681152344,185.240327467938,174.9190220814639,177.78330259492003,339940,Capital Goods
2022-02-24,158.62220764160156,174.27700492267505,156.30114200060387,170.86949488849586,402212,Capital Goods
2022-02-25,178.37591552734375,184.20325094995675,161.19018762943287,161.19018762943287,1004914,Capital Goods
2022-02-28,173.83255004882812,176.64745816603747,171.41272495152822,175.80791993574664,267982,Capital Goods
2022-03-02,177.24008178710938,180.647592245012,171.90658846785993,172.84488626483628,244933,Capital Goods
2022-03-03,176.7956085205078,181.487112098566,175.7585362943407,178.86975297284204,158566,Capital Goods
2022-03-04,173.63502502441406,180.2525114725174,171.85718902037274,176.79561399222254,291069,Capital Goods
2022-03-07,172.5979461669922,179.0672856469403,166.0298472339093,172.8448674061438,337321,Capital Goods
2022-03-08,173.68441772460938,182.5241956867291,170.22752013611404,174.07948570637214,504088,Capital Goods
2022-03-09,175.11654663085938,179.46235443168763,172.84486820597695,177.783293011862,338760,Capital Goods
2022-03-10,179.21542358398438,183.66000567101503,176.84498583258494,179.75865329768547,457045,Capital Goods
2022-03-11,180.4006500244141,181.93156471054,177.93143765030013,178.7709758858494,150716,Capital Goods
2022-03-14,180.59820556640625,184.05510301449596,178.77098231549385,181.83281179786684,219227,Capital Goods
2022-03-15,176.4499053955078,185.63537818993424,175.16592705281855,182.0797215110722,343253,Capital Goods
2022-03-16,181.19081115722656,187.0181617293864,176.00546488085774,178.77098590909654,598350,Capital Goods
2022-03-17,185.63540649414065,186.87001283564317,181.09206419993836,182.62296400669888,283402,Capital Goods
2022-03-21,187.0675201416016,189.6355069938267,183.70939740026964,186.5736776754718,287993,Capital Goods
2022-03-22,190.12936401367188,194.5739465490564,185.83292820111595,188.59844923730844,404070,Capital Goods
2022-03-23,196.746826171875,199.46295960692336,191.0676380804102,192.5491654086184,546370,Capital Goods
2022-03-24,200.6975860595703,202.6729560307686,196.8456206440844,202.6729560307686,720372,Capital Goods
2022-03-25,200.5494384765625,201.78404470324548,197.7345302513745,197.93206423346845,174571,Capital Goods
2022-03-28,192.15411376953125,201.9321889361332,189.7342886091981,201.53712097680895,225454,Capital Goods
