Date,Close,High,Low,Open,Volume,Sector
2022-01-10,529.2379760742188,545.129075443242,525.7509036463329,538.0054603023883,61809,Consumer Services
2022-01-11,538.0054931640625,540.8948062475357,524.0572026005498,524.0572026005498,73998,Consumer Services
2022-01-12,525.4021606445312,546.5238686846021,517.1826327674298,542.9869930933686,129527,Consumer Services
2022-01-13,534.8670654296875,537.9058485912885,513.1475981157477,519.1752396615609,91996,Consumer Services
2022-01-14,526.9962768554688,536.0128375179445,526.049773623559,534.0202247390674,29060,Consumer Services
2022-01-17,536.461181640625,539.9980571221945,528.3910634893165,532.4759561268081,38394,Consumer Services
2022-01-18,530.2841186523438,542.9870261447203,527.1457289479858,536.4612309282279,99096,Consumer Services
2022-01-19,504.429931640625,534.3689275989009,497.15690688817256,530.4833690208765,230798,Consumer Services
2022-01-20,512.2011108398438,519.6236058980523,498.4520942811893,498.4520942811893,46114,Consumer Services
2022-01-21,502.6864013671875,518.8265778323162,501.1421385495056,512.9483455214662,23004,Consumer Services
2022-01-24,489.3857116699219,510.2084787665773,481.1661839399935,510.2084787665773,58797,Consumer Services
2022-01-25,501.1421203613281,502.1384267636369,479.323016231737,481.2159923151521,25586,Consumer Services
2022-01-27,483.806396484375,504.7786341535511,481.2159937496783,499.14950904469737,45106,Consumer Services
2022-01-28,488.389404296875,492.5738728898775,485.69936488327056,488.1901308570309,27753,Consumer Services
2022-01-31,497.505615234375,522.463109214334,492.1255666654452,501.1421275741701,79889,Consumer Services
2022-02-01,492.922607421875,508.01664379151737,489.3857317488564,508.01664379151737,54422,Consumer Services
2022-02-02,490.4816284179688,499.19930941547887,489.38571570216845,497.1568934580055,730739,Consumer Services
2022-02-03,495.6126403808594,508.1162737795699,483.7565696687822,493.66983070152327,1607950,Consumer Services
2022-02-04,494.9152221679688,524.057185425972,491.0794363077383,519.0756532451167,998394,Consumer Services
2022-02-07,475.53704833984375,498.1532165323565,469.75848319001216,489.43553524304025,147336,Consumer Services
2022-02-08,481.415283203125,485.2012355071507,471.1533086445549,480.1200665902723,178471,Consumer Services
2022-02-09,485.8488159179688,493.12187097128543,482.2621067524154,487.1440324969829,82868,Consumer Services
2022-02-10,479.8709716796875,490.979781963361,475.23815299872194,490.1827490049711,52087,Consumer Services
2022-02-11,472.7972106933594,477.7289397515919,469.5094115911109,475.2381736423552,117909,Consumer Services
2022-02-14,444.4024658203125,469.26032312440896,440.6663167508506,463.28248461327,113160,Consumer Services
2022-02-15,467.8655090332031,469.2603319644397,435.9338694750851,448.2880936213911,87486,Consumer Services
2022-02-16,476.8322448730469,485.2012124775191,465.92267772829285,468.26400382840654,464287,Consumer Services
2022-02-17,460.6422729492188,483.0093335236328,458.2511436555094,474.291652470108,71512,Consumer Services
2022-02-18,462.23638916015625,469.0112608511874,455.31204717789205,458.3009665247928,33077,Consumer Services
2022-02-21,448.13861083984375,463.2824804264808,443.406155394627,460.2935611979228,199402,Consumer Services
2022-02-22,455.5610961914063,465.6237967973275,431.4504694251284,431.4504694251284,54113,Consumer Services
2022-02-23,471.302734375,478.1274393541391,460.09428727946965,462.43561342039663,240854,Consumer Services
2022-02-24,459.6459655761719,470.2566226980264,448.6865951319382,466.22159392368377,159562,Consumer Services
2022-02-25,471.203125,482.1624954222827,467.3673392712293,470.2566217561322,126412,Consumer Services
2022-02-28,460.1441345214844,477.08134396933264,450.9282999689787,477.08134396933264,85604,Consumer Services
2022-03-02,449.8821411132813,464.9762073419838,444.9504426942266,459.24744556292825,107550,Consumer Services
2022-03-03,451.5260925292969,461.14044363178687,446.4449235845264,456.2087145726267,119103,Consumer Services
2022-03-04,450.2308654785156,459.5463365939668,446.5943531235677,452.32311504316726,73372,Consumer Services
2022-03-07,442.2604064941406,450.1810545650098,424.4265279499839,434.3895919863685,105413,Consumer Services
2022-03-08,443.6054382324219,455.5113122402442,440.3674423329151,446.3452809166199,143724,Consumer Services
2022-03-09,453.9172058105469,467.2677056039744,447.1921375529204,450.2806935003576,365242,Consumer Services
2022-03-10,473.3949890136719,480.21969406633326,456.7566900555338,467.2677106164114,289450,Consumer Services
2022-03-11,468.0647583007813,486.596064361759,463.3323026607261,478.0776563716036,54261,Consumer Services
2022-03-14,458.4006042480469,475.9356038689896,456.20871789360655,468.0647585811375,85495,Consumer Services
2022-03-15,458.1016845703125,474.241860905946,453.6183056331765,462.2861837402499,256858,Consumer Services
2022-03-16,471.7012939453125,476.0850361795731,459.1478267798112,468.2142214218321,55230,Consumer Services
2022-03-17,461.3396606445313,485.20121079095793,458.5500149210234,475.1385101946092,108931,Consumer Services
2022-03-21,459.9946899414063,469.95775422079686,456.8064972100576,462.23637940426914,68136,Consumer Services
2022-03-22,457.20501708984375,464.2787988616258,453.3194280730467,463.2824924263005,38938,Consumer Services
2022-03-23,451.3766174316406,463.13305158715815,448.188455088088,462.5352616462235,81233,Consumer Services
2022-03-24,448.2880859375,452.7714648284656,446.743792743252,448.3378890965671,40922,Consumer Services
2022-03-25,449.483642578125,454.8138880923811,447.341589821422,448.4375329821345,184578,Consumer Services
2022-03-28,468.5130920410156,476.234466763648,447.8397339126774,449.7327100217703,205749,Consumer Services
2022-03-29,475.48724365234375,482.8101019928121,466.0223325686407,477.2307799046048,224311,Consumer Services
2022-03-30,483.1588134765625,494.1679873225094,473.1459156518099,476.2344716535474,130148,Consumer Services
2022-03-31,477.5794982910156,493.1218848423676,470.35627659805056,483.2086235983545,436662,Consumer Services
2022-04-01,472.4983215332031,486.0480949791756,468.2640192316404,483.20861559009705,111907,Consumer Services
2022-04-04,473.3949890136719,479.3230243700028,467.8156669850415,479.3230243700028,100531,Consumer Services
