Date,Close,High,Low,Open,Volume,Sector,return_ratio,pct_change_open,pct_change_high,pct_change_low,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30,up_or_down
2022-01-10,269.8944396972656,274.7524184131248,264.9398088602286,274.6073812251789,211328,Capital Goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-11,264.5772705078125,271.34457105102376,262.353740701993,267.57422379185243,221066,Capital Goods,-0.01970092157295744,-0.02561168385914314,-0.01240333891065859,-0.009760964837110975,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-12,275.30828857421875,287.53776182418176,265.18150053112373,266.75248105441966,855504,Capital Goods,0.040559107915089765,-0.0030710833270397586,0.05967759262857353,0.010778423900358103,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-13,274.3173522949219,280.09373239804927,272.1663116494366,279.17530126754474,213376,Capital Goods,-0.003599369581020584,0.04657058919947121,-0.025888875878098516,0.02633973751684482,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-14,274.1240234375,276.58927227974925,268.5410058731079,275.4775072739153,213906,Capital Goods,-0.0007047635003928354,-0.013245419551229154,-0.01251174058161264,-0.01332018556726533,271.64427490234374,0.0,0.0,0.0,0.0,0.0,0
2022-01-17,268.2992858886719,275.5741279142389,267.3566917185486,271.32040213708746,126922,Capital Goods,-0.02124854828769196,-0.015090542883032243,-0.0036702232054887096,-0.004410179930282032,271.325244140625,0.0,0.0,0.0,0.0,0.0,0
2022-01-18,255.1272430419922,270.32950733451094,251.23605084865807,268.7585267375737,283502,Capital Goods,-0.04909458779605291,-0.009442251225248333,-0.019031614540244934,-0.060296380712479114,269.43523864746095,0.0,0.0,0.0,0.0,0.0,0
2022-01-19,256.0215148925781,260.2027225314956,255.22392831535603,255.70730696746844,162784,Capital Goods,0.003505199366101275,-0.048561137495923834,-0.03746089319980983,0.0158730303761232,265.5778839111328,0.0,0.0,0.0,0.0,0.0,1
2022-01-20,266.0999450683594,270.20866356623594,256.02151208362807,256.02151208362807,331938,Capital Goods,0.03936555949217779,0.0012287686256833297,0.03845440561648683,0.003125035232929063,263.9344024658203,0.0,0.0,0.0,0.0,0.0,1
2022-01-21,257.97918701171875,267.30838889720553,246.5472703326905,262.95798112130166,187338,Capital Goods,-0.030517699109462226,0.027093305485235364,-0.010733462912522307,-0.03700564719672017,260.70543518066404,266.1748550415039,0.0,0.0,0.0,0.0,0
2022-01-24,246.6922912597656,261.8945405989676,244.58959123069465,257.59248841553904,312584,Capital Goods,-0.04375118738334671,-0.020404372907348756,-0.02025319265352299,-0.00794038035527278,256.3840362548828,263.8546401977539,0.0,0.0,0.0,0.0,0
2022-01-25,256.6982421875,260.2752562217701,239.29660970247548,248.94002027187847,185480,Capital Goods,0.04056045236208128,-0.033589753322708416,-0.0061829634687843305,-0.021640256650279466,256.6982360839844,263.06673736572264,0.0,0.0,0.0,0.0,1
2022-01-27,252.13026428222656,255.56227002125848,249.81005291827245,253.338710774191,108754,Capital Goods,-0.017795127330622162,0.01766968001974334,-0.018107699782632825,0.04393477713231553,255.91998596191405,260.7489349365234,0.0,0.0,0.0,0.0,0
2022-01-28,266.4383239746094,277.9427302114383,254.37802047612072,255.70731179452324,734026,Capital Goods,0.05674868002504785,0.009349542409424538,0.08757341288414033,0.018285763541080247,255.98766174316407,259.9610321044922,0.0,0.0,0.0,0.0,1
2022-01-31,258.5592346191406,273.1089192225018,252.1786309596961,270.4503368229908,301584,Capital Goods,-0.02957190706626578,0.057655860229427036,-0.0173913920513743,-0.008646146047948666,256.1036712646484,258.40455322265626,262.8177937825521,0.0,0.0,0.0,0
2022-02-01,259.0667724609375,273.1089152095916,256.8432131485281,260.6377529466564,150574,Capital Goods,0.0019629461022518946,-0.03628238733811118,-1.469344257376548e-08,0.018497135031149803,258.5785675048828,257.48130187988284,262.0959493001302,0.0,0.0,0.0,1
2022-02-02,272.77056884765625,276.8309613469002,259.57433747975097,259.57433747975097,754980,Capital Goods,0.05289677350955935,-0.0040800515461898446,0.01362843147925874,0.010633430012587208,261.79303283691405,259.2456344604492,262.6421691894531,0.0,0.0,0.0,1
2022-02-03,272.62554931640625,279.3928501859624,266.3416270803898,277.94271428534324,739408,Capital Goods,-0.0005316538798986192,0.0707634544459741,0.009254343613147586,0.026070718956055172,265.89208984375,260.90603790283205,262.46331990559895,0.0,0.0,0.0,0
