Date,Close,High,Low,Open,Volume,Sector,return_ratio,pct_change_open,pct_change_high,pct_change_low,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30,up_or_down
2022-01-10,100.59146118164062,103.20362984567058,100.2248394234352,103.15780649635016,40065591,Metals & Mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-11,95.68791961669922,99.72074515470736,95.55043557703544,99.72074515470736,83997765,Metals & Mining,-0.048747095502340465,-0.03331848028161022,-0.03374769565926583,-0.04663917521135741,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-12,96.1920166015625,97.2460515618848,95.8254018264318,96.28367728807378,36449235,Metals & Mining,0.005268136112505761,-0.03446692923625161,-0.024816236470990183,0.0028777079637138936,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-13,99.0333251953125,99.44577029344748,96.55863362831786,97.15439309774592,47128730,Metals & Mining,0.029537883642870355,0.009043233850188681,0.02262013414665831,0.007651747740271997,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-14,99.17079162597656,99.76655103168468,98.3000711818299,98.71251623585148,22683240,Metals & Mining,0.0013880825509287043,0.016037598387732777,0.0032256850873659815,0.018035026885481198,98.13510284423828,0.0,0.0,0.0,0.0,0.0,1
2022-01-17,98.43756103515624,99.44576555467653,97.38352617681456,98.07093930276856,38356354,Metals & Mining,-0.007393614377766755,-0.006499448677308672,-0.003215360997157024,-0.00932395057293478,97.7043228149414,0.0,0.0,0.0,0.0,0.0,0
2022-01-18,96.5128173828125,99.0791558352286,96.28367964637916,98.987502139201,26528093,Metals & Mining,-0.019552939265290448,0.00934591677156038,-0.0036865292091934343,-0.011293969048096097,97.86930236816406,0.0,0.0,0.0,0.0,0.0,0
2022-01-19,95.91705322265624,96.9252578155728,94.95467197916912,96.69612009024048,38987705,Metals & Mining,-0.006172901965893263,-0.023148195473588817,-0.021739164019905388,-0.013803041928716064,97.8143096923828,0.0,0.0,0.0,0.0,0.0,0
2022-01-20,96.69612121582033,97.97929389116362,95.1379874625146,96.23784575982116,41218605,Metals & Mining,0.00812230950585624,-0.004739324907676257,0.010874730687808976,0.001930557807473532,97.34686889648438,0.0,0.0,0.0,0.0,0.0,1
2022-01-21,93.99230194091795,97.15439989513024,93.12157434999418,95.7795734815199,50322983,Metals & Mining,-0.02796202413194626,-0.004761871742692048,-0.008419064511218877,-0.021194616013029632,96.31117095947266,97.22313690185547,0.0,0.0,0.0,0.0,0
