Date,Close,High,Low,Open,Volume,Sector,return_ratio,pct_change_open,pct_change_high,pct_change_low,ma_5,ma_10,ma_15,ma_20,ma_25,ma_30,up_or_down
2022-01-10,8363.3447265625,8609.281143624841,8271.976086679766,8459.987250960827,8398,Automobile and Auto Components,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-11,8360.2099609375,8529.11132862399,8335.57646630573,8514.729154536779,1307,Automobile and Auto Components,-0.00037482200333605054,0.006470683932737087,-0.009312021952055383,0.007688656127570193,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-12,8440.876953125,8479.444539846338,8361.452801186135,8387.62880113554,4063,Automobile and Auto Components,0.009648919412839074,-0.014927116423135822,-0.005823207936208941,0.003104324576110873,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-01-13,8379.8173828125,8465.910202034454,8361.454037961068,8465.910202034454,3746,Automobile and Auto Components,-0.007233794622476308,0.00933295961885161,-0.0015961349529775015,1.4791388092127988e-07,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-01-14,8412.6123046875,8447.74594218017,8305.468658040003,8350.157688516612,730,Automobile and Auto Components,0.003913560448496778,-0.013672778325716894,-0.0021455767213215404,-0.00669565121890181,8391.372265625,0.0,0.0,0.0,0.0,0.0,1
2022-01-17,8473.32421875,8544.53720828272,8360.656904574938,8533.638560165144,4149,Automobile and Auto Components,0.007216773085890527,0.021973342120336303,0.011457644058548766,0.0066448082350549775,8413.3681640625,0.0,0.0,0.0,0.0,0.0,1
2022-01-18,8524.232421875,8592.36038977439,8464.21647686075,8492.831137025933,11867,Automobile and Auto Components,0.006008055612028773,-0.004781948854700624,0.0055969305681426995,0.01238653534857348,8446.17265625,0.0,0.0,0.0,0.0,0.0,1
2022-01-19,8564.1455078125,8603.309885801667,8460.734210056517,8509.752374317939,4644,Automobile and Auto Components,0.004682308501475774,0.0019924141925105054,0.0012743292332462186,-0.00041141041391767885,8470.8263671875,0.0,0.0,0.0,0.0,0.0,1
2022-01-20,8679.748046875,8706.620948731967,8490.742553660291,8603.309764874946,3172,Automobile and Auto Components,0.013498432383831416,0.010994137836414453,0.01200829265731751,0.0035467777215016927,8530.8125,0.0,0.0,0.0,0.0,0.0,1
2022-01-21,8462.8740234375,8716.72321225694,8426.147336903654,8716.72321225694,2544,Automobile and Auto Components,-0.02498621184235661,0.013182536777303078,0.001160296696555374,-0.007607722922748472,8540.86484375,8466.1185546875,0.0,0.0,0.0,0.0,0
